"","logFC","gene_id","direction"
"ENSG00000260834",9.51250657809212,"ENSG00000260834","up"
"ENSG00000297836",8.86005759713106,"ENSG00000297836","up"
"ENSG00000254339",8.68153172777687,"ENSG00000254339","up"
"ENSG00000274090",8.65572135745648,"ENSG00000274090","up"
"ENSG00000305946",8.03876149593139,"ENSG00000305946","up"
"ENSG00000309222",7.60856758712798,"ENSG00000309222","up"
"ECHDC3",7.5829889620703,"ECHDC3","up"
"ENSG00000243004",7.53145866143022,"ENSG00000243004","up"
"ENSG00000289356",7.50824677923261,"ENSG00000289356","up"
"PKIB",7.25571593479888,"PKIB","up"
"ENSG00000289205",7.20096363278439,"ENSG00000289205","up"
"LINC01013",7.12483340196757,"LINC01013","up"
"ENSG00000243081",6.9398460029557,"ENSG00000243081","up"
"ENSG00000305907",6.77153388340982,"ENSG00000305907","up"
"RWDD2B",6.6616965461916,"RWDD2B","up"
"ENSG00000298621",6.25882586279963,"ENSG00000298621","up"
"ENSG00000289287",6.1743887604226,"ENSG00000289287","up"
"ENSG00000300001",6.0229844198564,"ENSG00000300001","up"
"ENSG00000294005",5.95478073251993,"ENSG00000294005","up"
"ENSG00000299647",5.90581009012817,"ENSG00000299647","up"
"LINC00824",5.78330599329548,"LINC00824","up"
"CBR1",5.77931329229442,"CBR1","up"
"DANT1",5.68752391166219,"DANT1","up"
"ENSG00000305620",5.6380064401465,"ENSG00000305620","up"
"ENSG00000286339",5.6296743636178,"ENSG00000286339","up"
"FGF21",5.59927404565779,"FGF21","up"
"ENSG00000293723",5.587448610261,"ENSG00000293723","up"
"MYL9",5.55947303759981,"MYL9","up"
"TBX15",5.55137935555348,"TBX15","up"
"TMLHE",5.48768841020728,"TMLHE","up"
"ENSG00000301899",5.40121095368308,"ENSG00000301899","up"
"CALCA",5.31846493809602,"CALCA","up"
"ENSG00000294129",5.31368779783415,"ENSG00000294129","up"
"ENSG00000287059",5.2450917517658,"ENSG00000287059","up"
"HOXB1",5.21978066323661,"HOXB1","up"
"ENSG00000262877",5.21909037851488,"ENSG00000262877","up"
"ENSG00000289195",5.14645188391948,"ENSG00000289195","up"
"ENSG00000289199",5.14106868722257,"ENSG00000289199","up"
"LINC01705",5.11384721848755,"LINC01705","up"
"ENSG00000298367",5.11384721848755,"ENSG00000298367","up"
"AGMO",5.04634039912927,"AGMO","up"
"CEBPZOS",5.00917473984659,"CEBPZOS","up"
"ENSG00000295484",4.84254519667015,"ENSG00000295484","up"
"NOTUM",4.84254519667015,"NOTUM","up"
"BAHCC1",4.80562003417676,"BAHCC1","up"
"RAB17",4.78157717937873,"RAB17","up"
"ENSG00000305005",4.73945170370605,"ENSG00000305005","up"
"LINC02700",4.70767299503339,"LINC02700","up"
"NODAL",4.65771469811134,"NODAL","up"
"C1orf210",4.62161521341219,"C1orf210","up"
"ENSG00000306832",4.61154358193345,"ENSG00000306832","up"
"RHOXF1-AS1",4.59406888652653,"RHOXF1-AS1","up"
"DLL4",4.58942625970144,"DLL4","up"
"ABHD12B",4.57238635640298,"ABHD12B","up"
"ENSG00000230159",4.57118022111625,"ENSG00000230159","up"
"ENSG00000299953",4.56283204968973,"ENSG00000299953","up"
"LINC-ROR",4.54934882032611,"LINC-ROR","up"
"CXCL5",-4.5458742929905,"CXCL5","down"
"RENO1",4.54353149373079,"RENO1","up"
"HHLA1",4.4718300283766,"HHLA1","up"
"ENSG00000295738",4.42196951384988,"ENSG00000295738","up"
