"","logFC","gene_id","direction"
"MYL9",-11.9345993849872,"MYL9","down"
"PSMD5",-9.7499691089631,"PSMD5","down"
"ZFP42",-9.6550163978412,"ZFP42","down"
"ENSG00000289205",-9.64499954936156,"ENSG00000289205","down"
"ZNF542P",-9.60517768041043,"ZNF542P","down"
"SIX3",-9.27405255574839,"SIX3","down"
"ENSG00000289195",-9.17629998053255,"ENSG00000289195","down"
"LHX5",-9.10167822806219,"LHX5","down"
"FEZF1-AS1",-8.59721119580707,"FEZF1-AS1","down"
"ENSG00000243004",-8.58445800742651,"ENSG00000243004","down"
"EDNRB",-8.48531114806495,"EDNRB","down"
"ENSG00000309222",-8.44909425473996,"ENSG00000309222","down"
"TEK",-8.3283030739776,"TEK","down"
"RAB17",-8.17413105748678,"RAB17","down"
"ENSG00000297836",-8.15503295328555,"ENSG00000297836","down"
"DANT1",-8.1106642906308,"DANT1","down"
"LINC02751",-7.991306108892,"LINC02751","down"
"ECHDC3",-7.90093167222176,"ECHDC3","down"
"ZNF736",-7.88687363123426,"ZNF736","down"
"PAPPA",-7.71919314111554,"PAPPA","down"
"LHX5-AS1",-7.69367346678649,"LHX5-AS1","down"
"ENSG00000260834",-7.68870423031654,"ENSG00000260834","down"
"ENSG00000289902",-7.67416081037474,"ENSG00000289902","down"
"ENSG00000301899",-7.65651294455531,"ENSG00000301899","down"
"CUTALP",-7.63497978300567,"CUTALP","down"
"PEG3",-7.61853194152103,"PEG3","down"
"ENSG00000274090",-7.45930993805091,"ENSG00000274090","down"
"CCDC152",-7.45347269525054,"CCDC152","down"
"RWDD2B",-7.37730899539869,"RWDD2B","down"
"DAZL",-7.28556269252294,"DAZL","down"
"OTX1",-7.17364863145289,"OTX1","down"
"SLC49A3",-7.15421810150399,"SLC49A3","down"
"ALPK3",-7.07209022871929,"ALPK3","down"
"TSPYL5",-7.06754974634882,"TSPYL5","down"
"NPTX1",-7.03538668356784,"NPTX1","down"
"LMX1B",-6.99949550670535,"LMX1B","down"
"ENSG00000229271",-6.88281687766215,"ENSG00000229271","down"
"ENSG00000289287",-6.88156634735483,"ENSG00000289287","down"
"NKX6-1",6.7452332355444,"NKX6-1","up"
"LIX1",-6.69870538061606,"LIX1","down"
"LINC02772",-6.65700608933567,"LINC02772","down"
"CBR1",-6.63345136135677,"CBR1","down"
"CCN2",-6.5918375377921,"CCN2","down"
"XACT",-6.58823626621631,"XACT","down"
"KRT1",-6.54210399452287,"KRT1","down"
"DNAJA4",-6.51188938147586,"DNAJA4","down"
"TMEM125",-6.46218991235165,"TMEM125","down"
"PCDHA6",-6.32758046187089,"PCDHA6","down"
"CALCA",-6.3159691715006,"CALCA","down"
"OLIG3",6.29726196062616,"OLIG3","up"
"SBSN",-6.29246241861597,"SBSN","down"
"ZNF829",-6.25160035238088,"ZNF829","down"
"LGI1",-6.22746268164523,"LGI1","down"
"CCDC141",-6.18805169657987,"CCDC141","down"
"FGF21",-6.18805169657987,"FGF21","down"
"LINC00882",-6.11527182126347,"LINC00882","down"
"ENSG00000289356",-6.11075945556011,"ENSG00000289356","down"
"CST1",-6.10951829403318,"CST1","down"
"ENSG00000299309",-6.10142461198684,"ENSG00000299309","down"
"ENSG00000289161",-6.06264489061226,"ENSG00000289161","down"
"MAS1",5.99208538756603,"MAS1","up"
"EMX1",-5.98306995879224,"EMX1","down"
"ADGRG3",-5.95339909211589,"ADGRG3","down"
"LMO3",5.91238940256947,"LMO3","up"
"LINC00458",-5.90294801782026,"LINC00458","down"
"FAM50B",-5.87801728027376,"FAM50B","down"
"ENSG00000254339",-5.84099670196753,"ENSG00000254339","down"
"ENSG00000279607",-5.83473318254496,"ENSG00000279607","down"
"MSX2",-5.76982591966998,"MSX2","down"
"LINC02700",-5.75320830615395,"LINC02700","down"
"CGAS",-5.75270174187877,"CGAS","down"
"TXNRD2",-5.75224834934176,"TXNRD2","down"
