""	WT_P62	Y2_P37_28	YT2_P37_7_17
DDX11L16	0	4	2
DDX11L1	0	0	3
WASH7P	312	418	369
MIR6859-1	0	0	0
MIR1302-2HG	2	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
ENSG00000308361	0	1	0
ENSG00000290826	0	0	0
OR4G4P	0	0	0
OR4G11P	0	0	0
OR4F5	0	0	0
ENSG00000241860	3	5	5
ENSG00000239945	0	0	0
ENSG00000308314	0	0	0
CICP27	0	0	0
ENSG00000308579	26	54	45
ENSG00000268903	3	4	5
ENSG00000269981	89	148	122
ENSG00000239906	4	19	12
ENSG00000310528	0	0	0
RNU6-1100P	1	2	0
ENSG00000241599	0	0	0
DDX11L2	3	11	4
WASH9P	162	281	240
DDX11L17	0	0	0
MIR6859-2	0	0	0
ENSG00000308625	0	0	0
ENSG00000308544	0	0	0
ENSG00000292994	8	4	2
ENSG00000228463	0	0	0
ENSG00000306775	0	0	0
ENSG00000286448	0	0	0
RPL23AP24	0	0	0
ENSG00000236601	0	0	0
ENSG00000290385	82	150	158
WBP1LP7	0	0	0
OR4F29	0	0	0
ENSG00000237094	0	0	0
CICP7	0	0	0
ENSG00000250575	0	1	1
U6	2	0	0
ENSG00000293331	0	4	1
LINC00115	143	182	214
ENSG00000235146	0	1	0
MTND1P23	0	5	2
MTND2P28	28	36	26
MTCO1P12	117	191	136
ENSG00000278791	0	0	0
MTCO2P12	0	1	1
MTATP8P1	0	0	0
MTATP6P1	2597	3258	4156
MTCO3P12	1	0	1
WBP1LP6	0	0	0
OR4F16	0	0	0
ENSG00000230021	0	0	0
CICP3	0	0	0
RNU6-1199P	0	0	0
ENSG00000229905	0	0	0
ENSG00000228327	0	0	0
LINC01409	27	46	48
ENSG00000285268	0	0	0
ENSG00000230092	0	0	0
FAM87B	0	0	1
LINC01128	289	411	493
ENSG00000297178	0	0	0
ENSG00000297224	0	0	0
FAM41C	0	0	0
TUBB8P11	0	0	0
ENSG00000283040	0	0	0
ENSG00000296088	0	0	0
ENSG00000272438	149	346	135
ENSG00000298603	0	0	0
LINC02593	38	28	2
SAMD11	150	76	5
NOC2L	4852	9458	8230
KLHL17	590	1050	727
PLEKHN1	68	88	15
PERM1	1	4	0
ENSG00000303599	0	0	0
ENSG00000272512	5	0	1
HES4	75	22	9
ENSG00000303623	0	0	0
ISG15	416	439	337
ENSG00000303614	0	0	0
ENSG00000231702	0	0	0
ENSG00000224969	1	0	1
AGRN	9397	8205	9203
ENSG00000242590	0	0	0
ENSG00000291156	80	106	11
ENSG00000273443	4	4	0
ENSG00000217801	5	9	0
ENSG00000304119	17	37	18
ENSG00000304169	1	0	0
RNF223	3	1	1
C1orf159	367	637	608
ENSG00000285812	0	0	0
ENSG00000299943	0	0	0
LINC01342	3	0	0
ENSG00000304965	1	0	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
ENSG00000272141	11	3	0
TTLL10-AS1	0	1	5
TTLL10	20	10	29
TNFRSF18	23	4	3
TNFRSF4	6	7	5
ENSG00000304412	2	0	1
SDF4	2150	3759	4178
B3GALT6	472	647	1333
C1QTNF12	53	14	8
ENSG00000260179	1	6	4
UBE2J2	1432	2223	2661
