""	WT_1	WT_2	WT_3	Y2_1	Y2_2	Y2_3	YT_1	YT_2	YT_3
DDX11L16	0	0	0	2	3	4	2	0	2
DDX11L1	0	0	0	0	0	0	0	0	3
WASH7P	139	141	312	200	89	418	201	142	369
MIR6859-1	0	0	0	0	0	0	0	0	0
MIR1302-2HG	2	1	2	0	0	0	0	2	0
MIR1302-2	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
ENSG00000308361	1	0	0	1	0	1	1	0	0
ENSG00000290826	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0
ENSG00000241860	2	1	3	9	6	5	2	1	5
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000308314	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0
ENSG00000308579	39	25	26	58	101	54	53	33	45
ENSG00000268903	3	0	3	1	0	4	0	4	5
ENSG00000269981	130	71	89	214	63	148	142	128	122
ENSG00000239906	14	8	4	9	21	19	7	12	12
ENSG00000310528	0	0	0	2	0	0	0	0	0
RNU6-1100P	0	0	1	0	0	2	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
DDX11L2	6	4	3	0	0	11	2	2	4
WASH9P	71	68	162	77	66	281	113	75	240
DDX11L17	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0
ENSG00000308625	0	0	0	0	0	0	0	0	0
ENSG00000308544	0	0	0	0	0	0	0	0	0
ENSG00000292994	6	4	8	7	9	4	15	1	2
ENSG00000228463	0	0	0	0	0	0	0	0	0
ENSG00000306775	0	0	0	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0	3	0	0
RPL23AP24	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000290385	57	32	82	95	130	150	197	58	158
WBP1LP7	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0
ENSG00000250575	1	1	0	1	0	1	1	2	1
U6	0	0	2	0	0	0	0	0	0
ENSG00000293331	1	0	0	14	12	4	19	0	1
LINC00115	111	68	143	150	186	182	282	83	214
ENSG00000235146	0	0	0	0	0	1	0	0	0
MTND1P23	1	2	0	285	669	5	363	6	2
MTND2P28	24	44	28	788	1537	36	794	31	26
MTCO1P12	86	143	117	3196	3650	191	2140	159	136
ENSG00000278791	0	1	0	13	1	0	6	1	0
MTCO2P12	7	28	0	1586	2517	1	1687	29	1
MTATP8P1	0	0	0	2	0	0	1	0	0
MTATP6P1	470	1095	2597	17561	40773	3258	23536	1481	4156
MTCO3P12	71	97	1	1239	1959	0	1222	82	1
WBP1LP6	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	0	0	0	0	0
RNU6-1199P	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0	0	0	0
LINC01409	3	15	27	20	48	46	87	24	48
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	0	0	0	0	0	0	0	0	0
FAM87B	0	0	0	0	0	0	0	4	1
LINC01128	241	224	289	489	442	411	670	219	493
ENSG00000297178	0	0	0	0	0	0	0	0	0
ENSG00000297224	0	0	0	0	0	0	0	0	0
FAM41C	0	1	0	1	0	0	0	0	0
TUBB8P11	0	0	0	4	3	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000296088	0	0	0	0	0	0	0	0	0
ENSG00000272438	55	35	149	248	84	346	135	72	135
ENSG00000298603	0	0	0	0	0	0	0	0	0
LINC02593	0	1	38	49	8	28	1	8	2
SAMD11	4	7	150	294	36	76	2	13	5
NOC2L	5386	4794	4852	10710	3399	9458	5757	3119	8230
KLHL17	356	301	590	629	151	1050	486	350	727
PLEKHN1	51	45	68	59	8	88	6	10	15
PERM1	0	0	1	1	0	4	1	0	0
ENSG00000303599	0	0	0	1	0	0	0	0	0
ENSG00000272512	1	4	5	3	0	0	1	2	1
HES4	6	4	75	35	8	22	13	19	9
ENSG00000303623	2	0	0	1	0	0	0	3	0
ISG15	259	230	416	301	139	439	370	204	337
ENSG00000303614	0	0	0	0	0	0	0	1	0
ENSG00000231702	0	0	0	12	3	0	11	0	0
ENSG00000224969	0	0	1	0	0	0	1	0	1
AGRN	6585	5006	9397	5090	1017	8205	5358	4690	9203
ENSG00000242590	0	0	0	0	0	0	0	0	0
ENSG00000291156	65	47	80	47	52	106	67	28	11
ENSG00000273443	1	0	4	0	0	4	0	1	0
ENSG00000217801	0	0	5	0	0	9	0	2	0
ENSG00000304119	15	8	17	24	21	37	36	11	18
ENSG00000304169	0	2	1	0	1	0	4	1	0
RNF223	0	2	3	1	0	1	0	0	1
C1orf159	343	320	367	608	262	637	616	416	608
ENSG00000285812	0	0	0	0	0	0	0	0	0
ENSG00000299943	2	0	0	0	0	0	0	0	0
LINC01342	0	0	3	0	0	0	0	0	0
ENSG00000304965	0	0	1	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0
ENSG00000272141	7	8	11	0	0	3	0	0	0
TTLL10-AS1	0	2	0	0	1	1	3	1	5
TTLL10	10	15	20	0	4	10	52	16	29
TNFRSF18	16	15	23	0	0	4	0	0	3
TNFRSF4	0	2	6	0	0	7	6	4	5
SDF4	2482	2371	2150	5517	1703	3759	4052	2639	4178
B3GALT6	560	518	472	1277	1057	647	1321	641	1333
C1QTNF12	17	25	53	15	4	14	5	11	8
ENSG00000260179	1	1	1	5	3	6	4	2	4
UBE2J2	1904	1668	1432	3105	1082	2223	2590	1415	2661
LINC01786	12	11	33	7	3	48	13	9	31
SCNN1D	42	32	165	48	13	173	96	95	123
ACAP3	633	509	795	874	158	1209	835	679	1812
MIR6726	0	0	0	0	0	0	0	0	0
PUSL1	864	769	679	1053	193	776	653	482	981
INTS11	2754	2486	2905	4467	2057	5043	4394	1992	5033
MIR6727	0	0	0	0	0	0	0	0	0
ENSG00000240731	14	12	17	16	0	70	22	21	53
CPTP	437	390	350	763	193	530	489	365	688
TAS1R3	0	4	2	2	4	3	5	6	7
DVL1	1427	1353	2274	2620	474	2392	1181	1185	2545
MIR6808	0	0	0	0	0	0	0	0	0
ENSG00000304860	0	1	6	5	0	3	7	3	14
MXRA8	205	211	509	200	51	201	483	388	539
AURKAIP1	2435	2388	2336	4298	809	3377	2236	1866	3219
NDUFB4P8	0	0	0	0	0	3	0	0	0
CCNL2	1333	1280	3255	2621	1276	4106	2572	1277	5334
MRPL20-AS1	383	376	695	806	335	1227	656	366	1283
MRPL20	1275	1261	1525	2958	2352	2371	3052	1074	3206
RN7SL657P	0	0	0	0	0	0	0	0	0
