""	logFC	AveExpr	t	P.Value	adj.P.Val	B
GAPDH	-12.6751125396414	12.8085662478185	-79.640175348463	2.46617740698451e-10	8.58586437279567e-07	12.5760286879715
HSP90AB1	-11.1317688395377	11.7451527611918	-75.2851345754755	3.45918462840023e-10	8.58586437279567e-07	12.2905935387097
RPL4	-10.7305663674122	10.8648412786473	-72.7832753719127	4.23915811993729e-10	8.58586437279567e-07	12.0625001234067
EEF1A1P5	-11.7481040873109	12.0901717532569	-71.4201242806502	4.74982176862288e-10	8.58586437279567e-07	12.2296052190496
DPPA4	-10.7629054082229	10.2064727327942	-69.7565540466704	5.47333863365809e-10	8.58586437279567e-07	11.8509187306969
RPS6	-10.7863323449907	10.5559871815758	-69.225357660894	5.73090085618348e-10	8.58586437279567e-07	11.8975510131899
DPYSL3	-10.5908048125582	10.0794551744507	-69.1627756351937	5.762165893105e-10	8.58586437279567e-07	11.8088329279109
ACTB	-13.7297150093234	13.1388812384786	-67.3510182699117	6.7597720476669e-10	8.58586437279567e-07	12.2105588838372
SCD	-10.8446542622376	11.1586827273759	-66.0005385769399	7.63561850076718e-10	8.58586437279567e-07	11.8878257384106
SEPHS1	-10.2127493808997	10.2193643413755	-63.1421315047066	9.96536349229993e-10	8.58586437279567e-07	11.622258852234
XRCC5	-9.88479888095435	10.1842104976305	-62.7317457676454	1.03639277978138e-09	8.58586437279567e-07	11.6001215299266
HNRNPU	-10.0087358467973	9.85904973153182	-62.5610736310179	1.05351350197578e-09	8.58586437279567e-07	11.5375408021985
HSPD1	-9.62613730074174	10.2851116510979	-62.3308824652662	1.07712981896338e-09	8.58586437279567e-07	11.6009819438144
SET	-10.5511167575856	10.5514785108274	-62.2193158821282	1.0887976691765e-09	8.58586437279567e-07	11.64026257404
MORF4L2	-9.72083625077695	9.50075405440086	-60.8455955307369	1.24525191482181e-09	8.58586437279567e-07	11.4063156832041
RPL19	-10.0018795305167	10.0200651051365	-60.6714281246723	1.26690388366068e-09	8.58586437279567e-07	11.488008381275
TPI1	-10.0383138887186	9.96179388298418	-60.5966606731113	1.2763331941017e-09	8.58586437279567e-07	11.4750956767338
RPS16	-9.65590643728543	9.46167836674348	-60.3273476746766	1.31098248770273e-09	8.58586437279567e-07	11.3781430878946
TUBA1C	-9.42210357479612	9.45822733921774	-59.8881205493893	1.36987396527984e-09	8.58586437279567e-07	11.3591772892342
RAN	-9.67219206388323	9.76989015744976	-59.6505552098299	1.40300973385098e-09	8.58586437279567e-07	11.4023287186208
UBA1	-9.89926829605506	9.80707961392495	-59.3966448365698	1.43946330028974e-09	8.58586437279567e-07	11.3974973953026
LAPTM4B	-9.41665102857934	9.33940040092362	-58.9303358469495	1.5093271580504e-09	8.58586437279567e-07	11.2975744540711
PKM	-9.77912744116642	10.4438735438839	-58.8984949902651	1.51424013362632e-09	8.58586437279567e-07	11.4775379321789
HNRNPK	-9.78934590704661	9.98221927489581	-58.6105515932801	1.55952620878953e-09	8.58586437279567e-07	11.3910631168682
MARCKSL1	-10.1466530323699	9.73828884569324	-58.422463232089	1.5899605105464e-09	8.58586437279567e-07	11.342581451591
THY1	-9.45022195081403	9.11981902478905	-58.2856107632047	1.61253996246315e-09	8.58586437279567e-07	11.2311121018835
TMSB4X	-11.4014755102829	10.6129491283081	-58.1044789648341	1.64300246044899e-09	8.58586437279567e-07	11.4657978105076
TUBB	-11.8038833573638	12.0334828898851	-58.1012568795672	1.64355038873891e-09	8.58586437279567e-07	11.6661016353953
PDIA3	-9.01416738754712	9.25782906843136	-57.18013136272	1.80930914679407e-09	8.58586437279567e-07	11.2051866651641
EIF2S3	-9.15713600919925	9.29128254236766	-57.1410201705201	1.81676782777839e-09	8.58586437279567e-07	11.2090646737806
SAP18	-9.92003418276197	8.14392675830424	-56.8839857416545	1.86668709510911e-09	8.58586437279567e-07	10.9910053628555
SLC38A2	-9.1019316782282	8.82113798280034	-56.6530126641168	1.91291351428183e-09	8.58586437279567e-07	11.1053157718301
CCT5	-9.02566947127964	9.26879994725799	-56.5407711481064	1.93585836621758e-09	8.58586437279567e-07	11.1771235656137
AP2B1	-9.02838977155689	8.80094324794416	-56.4762606634253	1.94919100784065e-09	8.58586437279567e-07	11.0936264815163
PARP1	-10.060154775266	9.83798756082064	-55.9478142662059	2.06253212740318e-09	8.58586437279567e-07	11.2405012861635
PLS3	-9.19885793459077	9.01301399778724	-55.9175141897264	2.06926044471751e-09	8.58586437279567e-07	11.1041623072852
SEPTIN2	-9.77562738800444	9.51066730740365	-55.755638277629	2.10564245807295e-09	8.58586437279567e-07	11.1788794098045
HSP90AA1	-10.6474122535842	10.9562329164005	-55.6543844065336	2.12877862117487e-09	8.58586437279567e-07	11.3902194361819
TUBB2B	-9.37931505130956	9.03484465288328	-55.6447655227501	2.13099187717536e-09	8.58586437279567e-07	11.094746730898
EIF4B	-9.19615084003746	9.44083970956739	-55.6006773121823	2.14117073769394e-09	8.58586437279567e-07	11.1598666065368
