""	logFC	AveExpr	t	P.Value	adj.P.Val	B
YAP1	-3.30019267768831	5.30403163411026	-17.3669302564315	2.37509185502033e-06	0.0343804342713087	5.33849958021977
RPL17	-3.16595019950598	4.69310474701546	-15.8078379289592	4.1282942208584e-06	0.0343804342713087	4.83221078335272
SH3KBP1	2.36235700465735	6.31980214544138	13.0779099177362	1.24933093387065e-05	0.0488675170270809	4.06481743422633
TAGLN	-3.60072933701826	2.47200318506011	-12.6909816190507	1.48735536720091e-05	0.0488675170270809	3.4301595941315
NEFL	2.2197313074346	6.58912646891973	11.182745982035	3.08896468470541e-05	0.0574206555879078	3.22793649796297
OLIG3	4.87846799634374	3.99496700651562	11.2375300523792	3.00336134378711e-05	0.0574206555879078	3.14245083889511
SLC17A9	-5.18042049185137	1.45610804596813	-12.327304572776	1.76035724160954e-05	0.0488675170270809	3.08290896124139
NEFM	1.9637878110126	6.31067126713638	10.6048742117584	4.18804483751791e-05	0.0574206555879078	2.93197323296428
GSDMD	-4.17112623511238	1.14108802133718	-11.7043568050736	2.37560875998595e-05	0.0539565538722627	2.81868146137143
SHISA3	2.27203646670534	4.3065745291377	10.4853479754998	4.46863556130539e-05	0.0574206555879078	2.81829380384033
ALPK3	-7.42421341258077	0.635790413916756	-11.7209969990235	2.35621465519835e-05	0.0539565538722627	2.70422979830005
SELENOP	2.19403901583859	5.07912277873227	10.1981830054281	5.23661088571087e-05	0.0574206555879078	2.70245785273652
PCDHA6	-7.52729006754467	-1.77277270025402	-16.4225378067732	3.29988862768414e-06	0.0343804342713087	2.67158048584988
ARHGEF6	1.93612673663173	5.00392005917692	10.0528412133659	5.68306067238043e-05	0.0574206555879078	2.62333179802406
PLA2G2A	3.35166952139168	4.38654429489077	10.0277585021137	5.76449426328919e-05	0.0574206555879078	2.59020163757856
CST1	-4.85001872897434	-0.628609164862675	-12.3824232267086	1.71545760188639e-05	0.0488675170270809	2.52392743833499
SNRPE	2.13284983608388	4.62485572985201	9.79870115861731	6.5741690329088e-05	0.0574206555879078	2.47640114093358
CALCR	-5.66142903437437	-1.33822794685919	-12.9770501060039	1.30681709337989e-05	0.0488675170270809	2.38620435419209
SLFN12	-3.80687452472197	0.400377213947844	-10.7647800303221	3.84399267742381e-05	0.0574206555879078	2.34654975521728
CCN2	-5.87018575014739	0.648761259736126	-10.6059862755863	4.18553185070856e-05	0.0574206555879078	2.34422525814254
SALL3	1.99997483932973	5.33096581662716	9.54480039485507	7.63006210311359e-05	0.0574206555879078	2.34393812151139
