""	logFC	AveExpr	t	P.Value	adj.P.Val	B
YAP1	-3.25611243080106	5.30403163411026	-16.789943113369	2.89746901467493e-06	0.0723903658626384	5.05896150523895
CALCR	-6.18311602418336	-1.33822794685919	-13.7955538176618	9.15440932428672e-06	0.078572251585106	2.21621405960789
PCDHA6	-6.46311220190147	-1.77277270025402	-13.7243538443116	9.43470840359102e-06	0.078572251585106	2.0132288467836
ALPK3	-7.79600065669668	0.635790413916756	-12.0014041475303	2.05550524821143e-05	0.0946388395712465	2.57613343057928
SHISA3	2.63823549708791	4.3065745291377	11.8450295048158	2.21730594282848e-05	0.0946388395712465	3.35339344083952
NEFL	2.36141246471008	6.58912646891973	11.724911240626	2.35167935295438e-05	0.0946388395712465	3.46250311191068
SLFN12	-4.14819523707797	0.400377213947844	-11.4402668629695	2.70964118139826e-05	0.0946388395712465	2.3607086681295
CST1	-4.50799826935783	-0.628609164862675	-11.2200436522245	3.0303823109589e-05	0.0946388395712465	2.00129398978611
TAGLN	-3.21112261694883	2.47200318506011	-10.9895818712587	3.41421852529291e-05	0.0947787062621311	2.69700086121471
TTN	-5.38834736361705	-2.00531141961984	-10.4767311662975	4.48969222306761e-05	0.0961228496967725	1.33793301734824
QPCT	-6.63420248236295	-2.03193127442902	-10.4300486368793	4.6057882798356e-05	0.0961228496967725	1.31764009993386
SALL3	2.21890833185833	5.33096581662716	10.3782156428603	4.73879164460603e-05	0.0961228496967725	2.77891298996584
SLC17A9	-4.41106928326292	1.45610804596813	-10.2237768819005	5.16227093543301e-05	0.0961228496967725	2.21074755697274
DGKK	-2.59482271211098	3.76511942845804	-10.1478930181715	5.38632683219187e-05	0.0961228496967725	2.54955341319799
LINC00882	-4.43092165269297	-1.44674862941186	-9.99751195415305	5.86449699109964e-05	0.0976790618837556	1.40232684075427
PDGFA	1.82431715246012	6.2930981544178	9.52202289510779	7.73403500584283e-05	0.109912503109722	2.33074099311742
OLIG3	4.22483908330455	3.99496700651562	9.45164982389664	8.06578174773511e-05	0.109912503109722	2.2227849365992
TSHZ1	2.88570633033964	1.87727613799576	9.39863131165409	8.32661838524242e-05	0.109912503109722	1.94180942333102
ACTA1	-5.74362858182515	-0.841740311557962	-9.39224330093935	8.35869980421355e-05	0.109912503109722	1.39681912534444
SH3KBP1	1.70101611949796	6.31980214544138	9.27414469261859	8.97836769171701e-05	0.112157769204929	2.18474382297928
ENSG00000299347	-7.59577396028879	-1.41396147182032	-9.11152704915063	9.92071033207736e-05	0.116461781861728	1.13858044965761
SKOR2	4.43207961161251	-0.305236152213535	9.0228166938272	0.000104827986822529	0.116461781861728	1.39081471017028
GDF15	2.51474479109487	2.8055228207335	8.98681709746332	0.000107213455924581	0.116461781861728	1.86394948247719
GSDMD	-3.18319874512822	1.14108802133718	-8.70468484232631	0.00012824682514598	0.131200084564907	1.5094850434078
SEZ6L	3.42934390011619	3.11431008812145	8.64724185693339	0.000133093264925454	0.131200084564907	1.71119470355341
ENSG00000295948	-4.84412768083858	0.100242173914594	-8.55840357309964	0.000141011505546066	0.131200084564907	1.2745099277323
POU3F4	2.93532669689711	2.42071247404447	8.55001590167336	0.000141786834904438	0.131200084564907	1.59121989860309
ZNF876P	-2.69703122277198	1.76364674525584	-8.40125581263545	0.00015639064188259	0.13842471406266	1.43928944245882
ENSG00000291101	-4.67118176692555	-2.50202439952341	-8.25180962345042	0.000172839465302523	0.13842471406266	0.543306644120072
RIPOR2	-3.68790462705052	2.67008712887585	-8.23820904923374	0.000174433163400839	0.13842471406266	1.44028670394367
NEFM	1.54561272003908	6.31067126713638	8.22007576737107	0.000176584457844291	0.13842471406266	1.51040376936647
ZFHX3	2.87339789928725	1.67602168768335	8.16536177681222	0.000183263618662289	0.13842471406266	1.30270712649803
LINC01896	2.5367207176983	3.10747046479699	8.16096592337086	0.000183812777220022	0.13842471406266	1.42808194292168
DOCK2	-2.45986468071876	1.74588850626011	-8.09061475316468	0.000192865185570856	0.13842471406266	1.26902573917455
IZUMO2	-6.04910147192249	-3.0743364881406	-7.99873377462532	0.000205473650540248	0.13842471406266	0.305715557928301
GP6-AS1	-4.59199832062914	-2.48511574360904	-7.97837268566451	0.000208394924178755	0.13842471406266	0.448050255004343
TNC	-2.99025517101357	3.56112401045827	-7.93731181116325	0.000214433038946006	0.13842471406266	1.31365797481813
APCDD1	2.3156686328881	5.16636265359142	7.92811039478063	0.000215813664745637	0.13842471406266	1.32510223820219
MYH2	-5.09345854262992	-3.24870372094897	-7.88960704010463	0.000221703222807438	0.13842471406266	0.222668543318179
IRX1	3.14998117267758	3.55541472388342	7.86314291743242	0.00022585877275732	0.13842471406266	1.26556143580804
COL1A1	-2.49056452543661	5.5247714339625	-7.8129232375148	0.000233994045532489	0.13842471406266	1.23918936010579
CCN2	-4.42361216158728	0.648761259736126	-7.79321505916909	0.000237278598669221	0.13842471406266	0.979552926779538
ZNF439	-3.67626695524198	-1.6076260451798	-7.76611629635663	0.000241882044041659	0.13842471406266	0.571351705423438
SLC16A2	1.25590707846964	8.20490470902538	7.70693186739081	0.000252298768927656	0.13842471406266	1.1059795601732
MAP3K13	-5.94156266706641	0.55043637325355	-7.69566789461242	0.000254339357365525	0.13842471406266	0.914330224354196
NTRK3	1.86669056128402	4.58106229042705	7.66440135318059	0.00026010406104933	0.13842471406266	1.14639021447759
PTPRB	2.33960599689446	4.31027664218143	7.65590824603118	0.000261695872501015	0.13842471406266	1.14103095278414
KCNMB4	1.41616633246733	6.15936166822018	7.59294372289429	0.000273853450128308	0.13842471406266	1.066853526503
P2RY1	-1.71374362601411	4.497925769941	-7.58630901557402	0.000275172014466989	0.13842471406266	1.09176244728334
SELENOP	1.66618277498957	5.07912277873227	7.57703829006954	0.000277026725229467	0.13842471406266	1.07787195117411
ENSG00000257953	-4.39194071037694	-3.23293768320425	-7.53514336902442	0.000285589931758712	0.139161920234822	0.0973133850967187
ENSG00000267364	-4.12421610402992	-1.90654052818924	-7.51581959848337	0.000289642165074078	0.139161920234822	0.3941795920737
MDK	1.09819622475985	9.32051290143525	7.42837994210238	0.00030882644265485	0.142892744735301	0.865010929148065
HMX1	3.57805323096528	1.11612849164357	7.40911027961754	0.000313248623838806	0.142892744735301	0.812532305044045
PLA2G2A	2.53147856359951	4.38654429489077	7.37224539567717	0.00032191350544578	0.142892744735301	0.938930896593801
ANO9	-2.81787780638432	0.543387683262519	-7.346711442326	0.000328076968090306	0.142892744735301	0.716744778442168
ENSG00000289161	-5.71402051517747	-2.07797559047736	-7.31376529486086	0.000336231415393999	0.142892744735301	0.265821381505905
ARHGEF6	1.4395863627751	5.00392005917692	7.30898338237411	0.000337434264006212	0.142892744735301	0.881819796609118
HESX1	-3.19007365022006	1.71233485429729	-7.26053658244477	0.00034990408662183	0.142892744735301	0.770766592070894
ZNF649	-2.56511727885352	3.6061915590436	-7.2416063392087	0.000354920096726288	0.142892744735301	0.84335018024735
SCGB1B2P	-2.93111524316567	-0.501081912596281	-7.23841440270117	0.000355774003636249	0.142892744735301	0.524249176719173
RGS20	4.07896238196551	0.245883445117549	7.23253481914339	0.000357353106072274	0.142892744735301	0.617089920791014
ZIC3	1.72515768819721	7.03259330252749	7.19014777864711	0.000368978859448042	0.142892744735301	0.736980994269415
TRBC2	-2.18387957329028	1.9001985429207	-7.17538100489049	0.000373130815958703	0.142892744735301	0.728440728863758
LCK	-1.42594230401781	5.41564222257163	-7.15915212058878	0.000377756007584219	0.142892744735301	0.75697674688223
PTGR3	1.62217334479417	4.25978314282952	7.15583895285281	0.000378708340150746	0.142892744735301	0.780772726189875
DNAH17	-3.35701582494228	-1.74533157231764	-7.0890264212621	0.00039851504785103	0.142892744735301	0.226231657682997
KCNJ6-AS1	-3.76184941659772	-1.68351917640114	-7.08562994528365	0.000399553341270616	0.142892744735301	0.236430971193931
LINC01096	3.27028827462228	-0.975281228221517	7.06806094483639	0.000404974061778668	0.142892744735301	0.356069887871449
PAX5	2.52690359804288	2.99954522087914	6.99285191478775	0.000429155584481414	0.142892744735301	0.652740060116822
EPOP	1.80036980887048	3.86273742316333	6.97504146587539	0.000435122641384665	0.142892744735301	0.648561856291381
IFITM2	-1.5928938878904	5.98662164525458	-6.97215211554777	0.000436099629461413	0.142892744735301	0.592504162632266
SP8	2.06954388432686	4.92696375854367	6.95864662908068	0.000440699869150254	0.142892744735301	0.614754787355338
IRX2	2.61860964941741	4.78186604690497	6.95626847081979	0.000441515681232177	0.142892744735301	0.617086167025162
VAX1	-4.02184651433674	-3.31559726564799	-6.95165167859042	0.000443104403997806	0.142892744735301	-0.158806069505701
IRF2BPL	1.19620301303048	7.22322390851828	6.94823542923454	0.00044428422891061	0.142892744735301	0.537025857784315
NNAT	1.57093407577174	6.47209127831057	6.94467959010319	0.000445516099182672	0.142892744735301	0.555774151907661
SEPTIN6	1.77239211296002	7.54146352006429	6.91941209596284	0.00045438361599487	0.142892744735301	0.504224338544428
CD1D	2.07099997352986	2.06606980187413	6.9142786049379	0.00045620989067433	0.142892744735301	0.561629435767133
IRX2-DT	2.86707516181179	2.86781845463005	6.91052775794028	0.000457549614906504	0.142892744735301	0.58979486659047
ZNF880	-2.83518181647769	0.770146411099087	-6.84175792110607	0.00048293247015445	0.148957837460973	0.427620547311609
EFEMP1	1.6266367280389	5.40866354182034	6.74578317556715	0.00052110945460637	0.157268376858145	0.42774153285564
HPAT5	1.14593535610926	6.67975586161324	6.74252427186618	0.000522465389018012	0.157268376858145	0.382845107472354
MAS1	3.11507224597282	1.34163557214917	6.71562363873673	0.000533814045180479	0.158771548866537	0.384156889386275
LINC01694	-2.96958416804997	-0.423249158909986	-6.68860569244016	0.000545498042810978	0.15880249203901	0.214853001133401
MIR124-2HG	2.51752741526836	0.978111771943595	6.67590606411112	0.000551091307643984	0.15880249203901	0.333200757073852
SCN3A	2.9915963083252	-0.973150738562565	6.65620139333086	0.000559900639392412	0.15880249203901	0.123000304285894
RND3	1.27355405440696	6.87994214817597	6.64430727588561	0.000565296333554854	0.15880249203901	0.293755507736094
ENSG00000289195	-8.25255681918986	1.86072202869475	-6.64342505688378	0.000565698918967013	0.15880249203901	0.36078397640186
EFNB2	1.18105937361322	6.05443656642428	6.5769279587749	0.000597013121403653	0.165730842501654	0.263771924765321
NLRP2	-1.96514487108418	6.94298960794022	-6.54688187396657	0.000611811479338686	0.166753940167848	0.208348755034493
PSMD5	-6.8806668508846	0.512646387900901	-6.53292518634042	0.000618828317985269	0.166753940167848	0.202343606753733
UPK3B	-3.85491306021908	-1.25545538167901	-6.52791870729306	0.000621367833358234	0.166753940167848	0.00482097855313857
CEBPB	1.88324962323036	3.62427788090142	6.49988313578164	0.000635811634777429	0.166753940167848	0.281171475793304
CNIH3	2.02957584947424	3.17880333998927	6.48894098511858	0.000641553197783546	0.166753940167848	0.275324804943018
ANO10	1.52082803877566	7.20317506147105	6.48695612876764	0.000642601051774996	0.166753940167848	0.147986699606155
SOX1	2.67687115648251	1.45895866714124	6.47787625717165	0.000647419636418559	0.166753940167848	0.222702135858295
DUSP8	2.29428021530754	1.81492587008936	6.40314869235794	0.00068868985990162	0.175570860916311	0.182840603087433
TSC22D3	1.44241215828987	6.18503940769478	6.39095629420479	0.00069570586097962	0.175570860916311	0.0989160280079338
RPS27P3	1.03996727633973	8.98403339103301	6.37606524592227	0.000704386202593349	0.175983848855922	-0.0073708590288657
JUND	1.19142791557973	5.39521459322759	6.36376746922817	0.000711648554037859	0.176037895782989	0.106314826173103
TUNAR	-1.99941096173294	4.93383563080579	-6.33470540184437	0.000729154577510604	0.176845010899607	0.101064952169216
CYP4F22	4.08018623814117	-0.667790806733916	6.33207823252164	0.000730761277127362	0.176845010899607	-0.038523889198518
S100A6	-4.09013649290766	-3.11886853329963	-6.31170360129654	0.000743360485337361	0.176845010899607	-0.424002583941753
TRDN	-9.2993367481005	-0.684096450909284	-6.29471264470046	0.000754057901581937	0.176845010899607	-0.0646693424895508
HLA-DQB1	2.1267746413411	5.71563071951068	6.28740444293203	0.000758713282175336	0.176845010899607	0.0263260604902937
OXCT2	-4.47946765317501	-3.1012119765544	-6.2805446173683	0.000763113028330841	0.176845010899607	-0.437088143484252
MCHR1	1.75340863239728	2.33747833457621	6.27845401770115	0.00076445970129513	0.176845010899607	0.101580339116512
GABRB2	1.81894641095644	2.94560070804386	6.25039022916294	0.000782803326760825	0.177761176369891	0.0846886366741417
PHC1P1	-0.9845409271155	7.74100581461605	-6.24130289479212	0.000788850877428145	0.177761176369891	-0.0879753589373777
SCUBE3	1.7669105083551	2.69328531257515	6.23456926593113	0.000793366584719897	0.177761176369891	0.071149865260284
ZNF596	2.44767836346349	0.578327283153624	6.20731640582254	0.000811947851743349	0.177761176369891	-0.0212352523799062
VEPH1	-2.52340611249086	0.813784064227456	-6.20634507900869	0.000812619253261358	0.177761176369891	-0.00843232743617861
ENSG00000229271	-3.94711059022795	-1.97108996224432	-6.17354016107663	0.000835672476504456	0.177761176369891	-0.313293697749075
RPL17	-1.26722738555989	4.69310474701546	-6.17353852608257	0.000835673643989347	0.177761176369891	-0.0281373981959598
TMEM178B	1.19883325718738	5.21963167477251	6.17098556462164	0.000837498893562716	0.177761176369891	-0.0548640321584868
INHBB	2.52558869574927	-0.887466943930419	6.15764631175955	0.000847110396899343	0.177761176369891	-0.177825713446182
NPM1P39	-1.43245254226036	5.88547450620503	-6.15148905971972	0.00085158952071007	0.177761176369891	-0.101636586917545
CUTALP	-7.22389366315323	-1.94873497485735	-6.14306351181484	0.000857762735935052	0.177761176369891	-0.328311132795301
GAP43	1.38597715078295	5.36274031568881	6.13864243598233	0.000861022446809417	0.177761176369891	-0.0902439536016226
ALX1	2.03664815998885	1.00748285608275	6.12404939595814	0.000871883157459843	0.177761176369891	-0.0598745440087152
ITPKB	1.9428910429139	5.01713037770769	6.1139430896289	0.00087949658734695	0.177761176369891	-0.0960393824648911
FLRT2	1.84173809180293	3.42388279066466	6.11279834683104	0.000880363749749301	0.177761176369891	-0.03426404712215
ENSG00000302547	2.87146647804014	-1.23021242265105	6.1102994868111	0.00088226008124666	0.177761176369891	-0.25063315552947
GRAMD2A	-2.1586138046841	0.347129004317462	-6.10020928045032	0.000889965026457095	0.177879089768032	-0.113119127997308
ELFN1	1.7492021634389	4.01384041890697	6.08376142593495	0.000902690396937977	0.178344309109695	-0.0769275657025688
