""	logFC	AveExpr	t	P.Value	adj.P.Val	B
RPL17	-1.89872281394608	4.69310474701546	-9.69458272859363	6.98528054037342e-05	0.302416292511926	1.25866485655395
ENSG00000285382	-4.08755394247353	-0.783283260575818	-8.43047705231635	0.000153389796837261	0.302416292511926	-1.09826432675129
MIR4664	-3.03627341299214	0.40315895625528	-7.93505451846334	0.000214770788844132	0.302416292511926	-0.766566809959412
SLC52A2	-1.76638157164693	5.10663309675797	-7.78948754237984	0.000237905785560057	0.302416292511926	0.654009013462192
KLF16	-2.1217594144098	4.57653180574109	-7.44539886863869	0.000304980483654572	0.302416292511926	0.39960407297656
MRPL12	-1.97543143244017	3.412551404807	-7.29184434785334	0.00034178631725439	0.302416292511926	0.0382502603721298
ATP6V0B	-1.75083278261073	5.68442220048591	-7.23583939037176	0.000356464594245907	0.302416292511926	0.461170746942894
DOHH	-2.23531325963181	2.60979468535234	-7.00108052145059	0.000426430553704248	0.302416292511926	-0.324064901464711
SNRPE	1.47760418862619	4.62485572985201	6.94508026722386	0.000445377094153627	0.302416292511926	0.163783959454718
DVL1	-1.70172501535762	5.08713573120313	-6.90165661086681	0.000460736236067731	0.302416292511926	0.210547621882403
TRABD	-1.52445314049151	5.29096090003007	-6.74032230569825	0.000523383856527593	0.302416292511926	0.145306519696005
BAX	-1.55351254413201	6.59301961840318	-6.72338620631559	0.000530510423361485	0.302416292511926	0.243653110163957
PCSK9	-1.42979235156909	6.20303950720909	-6.68956611933369	0.000545077702204283	0.302416292511926	0.196893628383768
TRIM65	-1.412729022403	5.06536555554387	-6.57452245803754	0.000598182640348139	0.302416292511926	0.0235811468968841
SLC25A10	-2.06716009610186	1.86129040055293	-6.54554934759155	0.00061247746150673	0.302416292511926	-0.720872427641172
FSCN1	-1.4726732813493	9.00734678780296	-6.51855890180855	0.000626147694396107	0.302416292511926	0.214887295163879
GIPC1	-1.31888618715826	5.6545483767047	-6.43118054591086	0.000672864673221473	0.302416292511926	-0.00426974524616952
PKMYT1	-1.53287123383809	5.30019151553995	-6.3892864238088	0.000696673137643937	0.302416292511926	-0.062146054408414
SCAND1	-1.83402611674424	4.66712830008309	-6.36582507021159	0.00071042749752146	0.302416292511926	-0.15033476658853
PLEKHJ1	-1.55214777774003	5.55799224864864	-6.33062933248691	0.000731649117602544	0.302416292511926	-0.0754710288557838
HAGHL	-2.01279104997346	2.29442511028809	-6.32603888053027	0.000734470175990813	0.302416292511926	-0.69461919881865
TELO2	-1.79748903417476	4.49572317736647	-6.29577159844062	0.00075338605851875	0.302416292511926	-0.216368939652389
HES3	-2.11719289557526	4.04520892384757	-6.27661586516129	0.000765646008688201	0.302416292511926	-0.302374274151053
SDC1	-1.37845787836437	5.84313726770386	-6.23500181650336	0.000793075619240211	0.302416292511926	-0.115621467782646
CAPN15	-1.41933468762603	5.52314255894832	-6.22996759395493	0.000796469591001539	0.302416292511926	-0.142780553456379
CLCN7	-1.63219179758997	5.4589676596852	-6.22543232304458	0.000799541430727793	0.302416292511926	-0.150989812309894
RAC3	-1.5740583381969	5.91654813894487	-6.14976659160302	0.000852847388168859	0.302416292511926	-0.16728407264879
ADAP1	-2.72649816342178	-0.277773800926011	-6.14949254471439	0.000853047712570664	0.302416292511926	-1.44289823064508
ENSG00000288930	-2.72192078491115	0.784555709262259	-6.14129243893365	0.000859066869545556	0.302416292511926	-1.16377278025517
ITPA	-1.33876964702185	4.46230153698521	-6.1290753257892	0.000868125055715171	0.302416292511926	-0.321530776782353
SLC38A10	-1.39150831637114	5.45261697276469	-6.09643443823086	0.000892867293614865	0.302416292511926	-0.235756552182846
TRAF2	-1.32833683043255	4.59132652291981	-6.06512216062986	0.000917363638001961	0.302416292511926	-0.343710763817891
SEMA4C	-1.34256358396166	5.8204929266693	-6.0601298606135	0.000921339899828197	0.302416292511926	-0.233951567016302
BAK1	-1.47792157422088	5.19589649697964	-6.03345690593982	0.000942921414307475	0.302416292511926	-0.298975209407016
CHMP1A	-1.29343317276136	6.11790196196726	-6.02753465733078	0.000947791319132892	0.302416292511926	-0.238788607148567
TNK2	-1.45224342113121	4.4388373413396	-6.00977654812868	0.000962567316717737	0.302416292511926	-0.398705028369033
MEPCE	-2.62232584996068	1.4088378471263	-5.99511261477002	0.000974967587800518	0.302416292511926	-1.06457813521389
C19orf25	-1.44934144691733	4.91639705261925	-5.9858735664926	0.000982874217491027	0.302416292511926	-0.357049028591056
ADCK2	-1.85940123603265	2.70952557331252	-5.97101968911903	0.000995740157275681	0.302416292511926	-0.759788726934346
GPR137	-1.23448195499691	4.74944971500139	-5.94436198946531	0.00101931622756585	0.302416292511926	-0.402072234241106
POLRMT	-1.12934903734014	5.75070608880075	-5.91724989046192	0.00104395116585618	0.302416292511926	-0.336750729104444
ENSG00000273149	-2.08576881256855	0.729377650681597	-5.87711910708943	0.00108167517475366	0.302416292511926	-1.28047152043463
PHLDA3	-1.95118856180104	3.71963087922178	-5.82562265004646	0.00113238731428477	0.302416292511926	-0.626481703600859
NDUFV1	-1.36928417113584	6.49037165122235	-5.81752560716904	0.00114060569825402	0.302416292511926	-0.371200975217959
PRR22	-2.25616256177159	0.0651575870806304	-5.81353617200342	0.00114467996177563	0.302416292511926	-1.46954080454241
C2CD4C	-2.71706608089015	1.91371159428811	-5.79630193840067	0.0011624727575975	0.302416292511926	-1.03441845749034
NCLN	-1.68242583795813	6.32737407864735	-5.78655418961781	0.00117267620782572	0.302416292511926	-0.400779494759519
FAAP100	-1.50652136555909	5.03733328801884	-5.77278544338285	0.00118726340635222	0.302416292511926	-0.489052098916281
NUDT16L1	-1.34778800096363	4.40166105276762	-5.75444364825276	0.00120701851941869	0.302416292511926	-0.568137900766927
POLR3GP1	1.7906757582501	3.4132145775224	5.74511162709448	0.00121721352207256	0.302416292511926	-0.732215314034761
ENSG00000289088	-2.9322674516989	-3.04933224747317	-5.73797909528282	0.00122507195266565	0.302416292511926	-2.35529659709155
SYNGR3	-1.29052743212135	3.60241023768062	-5.72051120922853	0.00124456344363572	0.302416292511926	-0.711815517782144
MBD3	-1.73042037766035	5.73830469934266	-5.71132001239002	0.00125496143053618	0.302416292511926	-0.484344160656377
SLC25A22	-1.51372900952458	5.14846618560873	-5.69079047293053	0.00127854658598463	0.302416292511926	-0.537511641537352
NME3	-2.04808850960992	3.67580206464499	-5.69044377335805	0.00127894920985539	0.302416292511926	-0.717556759408788
ESRRA	-1.91037413820513	3.97460239759242	-5.68462233815964	0.00128573133157292	0.302416292511926	-0.672749046839808
MMP15	-1.47739710281153	5.94370608811801	-5.6793542254687	0.00129190421688024	0.302416292511926	-0.497229010409099
ADAT3	-2.10427257858604	1.52297738075781	-5.66824191441006	0.00130503625588691	0.302416292511926	-1.18523597255869
AURKAIP1	-1.53955249271343	5.86217146325438	-5.62920831068183	0.0013523866917367	0.302416292511926	-0.538444838106005
TACO1	-2.07914911482966	1.98643806585508	-5.62910406527225	0.00135251574623983	0.302416292511926	-1.10123427827284
SLC25A11	-1.14039076783183	6.15870992962816	-5.62599968560847	0.00135636537557869	0.302416292511926	-0.527491791879672
SNORA73B	-2.91853041896899	-2.46150318764091	-5.62432583966194	0.00135844623761187	0.302416292511926	-2.22405703142018
MGAT4B	-1.21104583040947	6.0885514306982	-5.62188085626794	0.00136149229674077	0.302416292511926	-0.53357152600845
ZNHIT2	-1.67465250244837	2.42667648262176	-5.61858902731684	0.00136560570513128	0.302416292511926	-1.01048926217157
SREBF1	-1.19903129417801	5.68437412543576	-5.59232595394935	0.00139893608092924	0.302416292511926	-0.574897059057514
LYPLA2	-1.44304857369805	6.69599519364191	-5.57172052320761	0.00142573665311186	0.302416292511926	-0.549693517097508
LRRC45	-1.55402827877404	3.56256583097481	-5.56538436811154	0.00143409516308582	0.302416292511926	-0.815815060950276
RHBDD3	-1.54875455330773	4.84988751299226	-5.56267983776113	0.00143767992179697	0.302416292511926	-0.653077047864985
NAT8L	-1.85198397596087	4.09430308734123	-5.54934126821157	0.00145550985370435	0.302416292511926	-0.745015897662623
LRFN4	-1.89598095391298	4.52931808026828	-5.5401679665831	0.00146791831043093	0.302416292511926	-0.699524679262401
ENSG00000238084	-1.5985310842245	2.00170893665664	-5.53507279255045	0.00147486247533088	0.302416292511926	-1.14672812832247
EPS8L2	-1.43121990523001	4.09454665545518	-5.52875110861934	0.00148353035326305	0.302416292511926	-0.75890502718747
ENSG00000303230	2.06995998808656	2.12820887939477	5.52414761676356	0.00148987890377613	0.302416292511926	-1.12558644647438
COL26A1	-1.37839992421683	5.92423955663978	-5.52411874931673	0.00148991881167361	0.302416292511926	-0.614808659418325
EIF4A1P7	-1.83569609456449	1.442442171518	-5.50850143254598	0.00151168876672214	0.302416292511926	-1.28049269992307
NUBP2	-1.46624298638985	4.94099335971902	-5.50718465801723	0.00151354081356774	0.302416292511926	-0.685629938523986
STK11	-1.72412480672199	5.31426998233095	-5.49885638532647	0.00152531462883536	0.302416292511926	-0.665646106163623
PAGR1	-1.26893050669297	3.83838725292599	-5.49026580733456	0.00153756875858124	0.302416292511926	-0.820751490197525
RPL41P1	-1.08433143635327	7.33648449816398	-5.48988303974983	0.00153811736697001	0.302416292511926	-0.597487564212135
CYB561D2	-1.53570211087634	2.20396013780396	-5.46845636934972	0.00156918624037403	0.302416292511926	-1.13993430543014
SLC12A9	-1.5949293134259	4.50372842671715	-5.46590126637576	0.00157293865654202	0.302416292511926	-0.754678315239936
PKD1P4	-2.05916689079799	0.193704979271871	-5.46427898071457	0.00157532644604437	0.302416292511926	-1.57774013116413
ENSG00000263237	3.0724096523436	-2.64725575494366	5.46331006629808	0.0015767545293487	0.302416292511926	-2.31659117284342
NPDC1	-1.82688801537594	3.92520168877769	-5.45680929773203	0.00158637424773096	0.302416292511926	-0.830747188111162
TMEM160	-2.30474282483511	3.25575590838171	-5.43728988566326	0.00161566292322262	0.302416292511926	-0.950891267699267
GAS6	-1.52103239039264	3.79697260175326	-5.43590211805479	0.00161776859706212	0.302416292511926	-0.863204211982873
MAP2K3	-1.14816545236781	5.09668387581879	-5.43572026442625	0.00161804475698591	0.302416292511926	-0.726853326984908
APOE	-1.22412194409649	8.09280724085709	-5.4227511813622	0.00163787856311974	0.302416292511926	-0.63844882569964
TARBP2	-1.42340771394841	4.84583482883974	-5.40331945946719	0.00166811623172086	0.302416292511926	-0.769370980845086
AEN	-0.970654567590197	6.95778993110354	-5.40195928307984	0.00167025649355276	0.302416292511926	-0.677313407414498
DNAJC5	-1.19346600083626	5.81460509694254	-5.40008548492389	0.00167321007132459	0.302416292511926	-0.715220633821574
MIR106AHG	2.70222005419341	0.34643911071755	5.3922581317576	0.00168561242918805	0.302416292511926	-1.57448354510607
ZSCAN10	-1.20429703589651	6.96533015342948	-5.3783651525406	0.00170788436660869	0.302416292511926	-0.696312866671614
TPRA1	-1.67166427374684	3.84435296970943	-5.37572623425146	0.00171215259637018	0.302416292511926	-0.897318718118997
SLC39A3	-1.81810030057062	4.2754702554988	-5.37110268980806	0.00171966010295121	0.302416292511926	-0.846616403476776
RSAD1	-0.999550004483132	5.09271777174135	-5.34936076143168	0.00175546990068427	0.302416292511926	-0.792182084284934
SCARF2	-1.71432443832137	2.5432187783929	-5.34559568293333	0.00176175696807476	0.302416292511926	-1.14168149449479
TNFRSF12A	-1.37139973310921	4.38216539403392	-5.33191217045485	0.00178482298309597	0.302416292511926	-0.863551696367841
RAB11FIP3	-1.09936819800404	4.7269496683455	-5.32784010964874	0.00179175338776002	0.302416292511926	-0.834999168214816
NAGLU	-1.26223826323604	4.09997940368775	-5.32506775019057	0.00179648929987848	0.302416292511926	-0.8995827086606
TRMT61A	-1.67500998398316	3.46716813084755	-5.31979496438784	0.00180553595360497	0.302416292511926	-0.991527014190157
