ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	58	-0.6109889898193	-2.07510530408637	1.80328635685511e-06	9.01643178427553e-05	6.64368657788723e-05	7130	tags=62%, list=29%, signal=44%	EXOSC5/AIMP2/RRP12/RRP9/MAP3K6/CDK4/HSPE1/PUS1/NOP16/RCL1/DCTPP1/HK2/PES1/MYC/PPAN/SLC19A1/PA2G4/NOP56/TCOF1/UTP20/PLK4/GRWD1/NOLC1/SRM/NPM1/DDX18/PPRC1/HSPD1/GNL3/DUSP2/LAS1L/MCM5/SORD/MYBBP1A/MCM4/UNG
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	180	0.448398912344704	1.75499496941241	7.10415756591068e-06	0.000177603939147767	0.00013086606042467	3674	tags=28%, list=15%, signal=24%	CEBPB/FOSL1/CCND1/TNFSF9/G0S2/CDKN1A/ETS2/PTGS2/ATF3/SLC16A6/SMAD3/VEGFA/EIF1/ZBTB10/NFKBIA/MAP3K8/MSC/RHOB/GADD45A/JUN/FOS/TRIB1/CSF1/JAG1/ID2/DRAM1/MARCKS/RNF19B/IRS2/PLK2/DUSP1/NFE2L2/BTG1/PHLDA2/JUNB/KLF4/KLF10/ZC3H12A/ABCA1/IER3/NR4A3/KLF2/CXCL1/ZFP36/MXD1/TIPARP/HES1/BCL3/ACKR3/BCL6/CEBPD
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	199	0.425494598086016	1.68808531460287	5.0877335420077e-05	0.000847955590334617	0.000624809382351823	6778	tags=39%, list=27%, signal=29%	NDUFA3/NDUFB1/SLC25A5/ATP6V1F/NDUFB4/COX5B/NDUFB2/NDUFS4/ATP5ME/UQCR10/TIMM17A/NDUFA2/COX6B1/NNT/ATP5MC2/MPC1/NDUFA1/NDUFS6/MGST3/DECR1/ETFB/COX6C/TIMM8B/ATP5PD/NDUFA8/ATP1B1/NDUFS3/NDUFB7/COX7B/SLC25A6/ATP6V0B/ATP5MF/ATP6V1H/BAX/COX5A/UQCRB/NDUFA6/NQO2/ATP6V1G1/NDUFB3/MRPL34/ALAS1/ISCA1/ATP6AP1/SLC25A12/AIFM1/CPT1A/ATP5MC3/ISCU/NDUFV2/ACO2/SLC25A20/TOMM22/SUCLG1/COX7A2/NDUFB8/TIMM10/NDUFC1/NDUFS8/UQCRH/HSD17B10/COX4I1/PDHA1/VDAC2/NDUFA5/UQCRFS1/OXA1L/ATP6V1D/NDUFA4/ACADVL/GLUD1/NDUFAB1/ATP6V0E1/IDH3B/ATP5PF/HTRA2/VDAC3/POLR2F
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	193	0.421445212989272	1.65760502505189	7.5715958584876e-05	0.00094644948231095	0.000697383829071227	3537	tags=26%, list=14%, signal=23%	PDGFA/INHBB/TNFSF9/CDKN1A/TCHH/DDIT3/ATF3/ZMAT3/RGS16/TGFB1/HINT1/ABHD4/GADD45A/PHLDA3/PPM1D/JUN/FOS/DRAM1/RPS27L/TXNIP/PITPNC1/CCND2/BLCAP/FAS/RNF19B/ACVR1B/PLK2/TOB1/SLC35D1/TM7SF3/BTG1/TP63/SLC7A11/HSPA4L/SESN1/CEBPA/KLF4/PRKAB1/MDM2/POLH/BAX/PRMT2/IER3/DDB2/CCP110/TPD52L1/EPS8L2/DDIT4/MXD1/IP6K2/SLC3A2
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	200	-0.373161462391423	-1.55209426236077	0.000300587232444329	0.00300587232444329	0.00221485329169506	6842	tags=41%, list=27%, signal=30%	HNRNPR/RRP9/IARS1/SRSF3/CDK4/CCT5/SRPK1/HSPE1/PRPF31/NOP16/PCNA/EIF4H/RPL6/DDX21/YWHAQ/SF3A1/PWP1/PCBP1/RUVBL2/CAD/MYC/FAM120A/SRSF7/CDC20/SSB/PRDX3/PHB2/CCT4/KPNB1/PA2G4/NOP56/DEK/SLC25A3/CCT2/ABCE1/SMARCC1/KPNA2/KARS1/G3BP1/DUT/TRIM28/NOLC1/SYNCRIP/RNPS1/SRM/EIF4A1/RRM1/NPM1/TARDBP/PABPC1/SF3B3/EIF3D/VDAC1/UBA2/NCBP1/SRSF1/PPM1G/DDX18/TUFM/ORC2/HSPD1/EIF3B/XPO1/PABPC4/LDHA/PSMA6/U2AF1/FBL/NAP1L1/GNL3/CCT7/GOT2/PTGES3/XRCC6/SERBP1/GLO1/MCM5/MCM6/PRPS2/PRDX4/HSP90AB1/MCM4
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	199	-0.359697933047334	-1.4932562155416	0.0011980291401939	0.00998357616828248	0.00735631928189235	5594	tags=32%, list=22%, signal=25%	NUDT21/POLD1/LYAR/MYC/ILF3/MMS22L/CDC20/DEPDC1/DIAPH3/RFC2/CCNE1/CDKN3/NCAPD2/PA2G4/TRIP13/NOP56/POLD3/DEK/CSE1L/HELLS/RBBP7/TIPIN/RPA1/KPNA2/PLK4/MRE11/DNMT1/DUT/SMC3/UBR7/NOLC1/SYNCRIP/MLH1/DONSON/SRSF1/ORC2/DSCC1/HMMR/WDR90/XPO1/ATAD2/NAP1L1/TFRC/SNRPB/MYBL2/NUP205/TACC3/NASP/BUB1B/XRCC6/GINS4/RFC1/MCM5/MCM6/PRDX4/MCM4/MCM3/TK1/SSRP1/UNG/PAN2/POLE4/RNASEH2A/MSH2
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	176	-0.358672271550183	-1.466538602636	0.00219070036064537	0.0156478597188955	0.0115300018981335	1557	tags=15%, list=6%, signal=14%	HRC/SORBS3/SH3BGR/APP/MYO1C/TNNC1/PGAM2/COL6A3/MYLK/MYL3/GJA5/SPDEF/ITGB4/VIPR1/EIF4A2/PTGIS/TEAD4/MB/FLII/MYL7/SPARC/CDH13/CRYAB/COL1A1/MYH2/ACTA1/TAGLN
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	41	0.530052939121361	1.67313654867538	0.00723508687030501	0.0452192929394063	0.0333194790079836	5610	tags=39%, list=22%, signal=30%	DLL1/AXIN2/LEF1/HEY2/WNT5B/JAG1/CCND2/NCSTN/NKD1/HEY1/FRAT1/WNT1/PTCH1/TCF7/JAG2/DVL2
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	34	0.527745343363261	1.58102021128623	0.0111857539855895	0.0621430776977192	0.0457896361983194	5054	tags=38%, list=20%, signal=31%	CNTFR/ETS2/VEGFA/HEY2/NKX6-1/TLE3/CRMP1/CDK6/DPYSL2/HEY1/GLI1/PTCH1/OPHN1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	46	0.494366540593162	1.58361263552661	0.0125798119470292	0.0628470777500628	0.0463083730789936	3057	tags=26%, list=12%, signal=23%	PRNP/IPCEF1/NDUFB4/LAMTOR5/ATOX1/GPX3/NQO1/JUNB/CDKN2D/NDUFA6/GLRX2/PRDX2
