""	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000269559	3.07141989230049	-3.31905053307387	5.89253211585455	0.00013960202621371	0.644525974317241	-3.51455053244629
ECEL1	-1.39849241099657	3.84267603360341	-5.80749699911768	0.000156951912334506	0.644525974317241	-1.14011929901646
ENSG00000214546	-2.93740766745452	-3.64571998234464	-5.51724314401588	0.000235887195266093	0.644525974317241	-3.61247532856803
ARHGAP4	-1.82912560822289	3.70183876864488	-5.39248733378218	0.000282055793868649	0.644525974317241	-1.40652082178118
TMEM14B-DT	2.72756771550454	-3.21015937386778	5.14644600324333	0.000403882089021586	0.644525974317241	-3.58617707487166
PRSS22	-2.48585922374259	-1.33840710779037	-5.06225765959856	0.000457582002334945	0.644525974317241	-3.21788374556983
NGFR	-1.37892473770117	4.97992222483864	-5.05929405810506	0.000459605720576697	0.644525974317241	-1.16349877785852
KCNG1	-1.34737022142225	4.24312100403477	-5.04619053570188	0.000468668447569981	0.644525974317241	-1.387998311316
TMEM59L	-1.68415548361807	2.80728267208517	-4.87931615238889	0.000602278459150607	0.644525974317241	-2.04067208436129
MPG	-1.08968456573809	4.36335976543488	-4.86953434890015	0.000611274647758041	0.644525974317241	-1.46054417362514
NAT8L	-1.497545217866	4.22556054278609	-4.83154539142644	0.000647589286453471	0.644525974317241	-1.52930038141629
GPT2	-1.07422252930511	6.89978543497468	-4.74908605157991	0.000734531078807311	0.644525974317241	-1.13072346205643
SLC16A5	-0.985320096471321	3.71216656716715	-4.74451400305945	0.000739700602527599	0.644525974317241	-1.76334694521165
NATD1	-1.00619223700189	4.36801589240669	-4.67430086537209	0.000824123716757526	0.644525974317241	-1.59020511821503
SLC1A5	-1.00876110700016	8.72164545358473	-4.65823000525728	0.000844847355083711	0.644525974317241	-1.09881574666158
RAC3	-1.35703582275316	5.86758321759224	-4.63040473375443	0.000882044479958565	0.644525974317241	-1.32574421477834
RPL39P36	-3.17400850963906	-2.92334805073036	-4.61292465844645	0.000906295788682504	0.644525974317241	-3.6222984148633
LLGL2	-1.49323393468699	4.92320102327985	-4.58816553717422	0.000941860648206445	0.644525974317241	-1.51234048337095
NBL1	-1.85710278011472	2.14886252921131	-4.56133417368536	0.000982075205234358	0.644525974317241	-2.42810233418712
TP53I13	-1.16790485011471	4.09528132027	-4.55787671939536	0.000987387825128574	0.644525974317241	-1.75252475421444
FOXL2NB	-1.99521065430583	-0.489413835925092	-4.54753344359085	0.00100346324050853	0.644525974317241	-3.14088731697599
TNRC18	-1.79613338918411	3.895081290194	-4.54508325244756	0.00100731170049674	0.644525974317241	-1.82556242731676
SLC16A11	-2.22440377546304	-1.21529377134977	-4.51753113820687	0.00105167758594042	0.644525974317241	-3.31401434947792
A4GALT	-1.34723596376293	3.45534919745465	-4.50405832641839	0.00107411983704953	0.644525974317241	-2.00289606334817
