""	./WT_1	./WT_2	./WT_3	./Y2_1	./Y2_2	./Y2_3	./YT_1	./YT_2	./YT_3
DDX11L16	0	0	0	2	0	4	2	3	2
DDX11L1	0	0	0	0	0	0	0	0	3
WASH7P	139	141	312	200	142	418	201	89	369
MIR6859-1	0	0	0	0	0	0	0	0	0
MIR1302-2HG	2	1	2	0	2	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
ENSG00000308361	1	0	0	1	0	1	1	0	0
ENSG00000290826	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0
ENSG00000241860	2	1	3	9	1	5	2	6	5
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000308314	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0
ENSG00000308579	39	25	26	58	33	54	53	101	45
ENSG00000268903	3	0	3	1	4	4	0	0	5
ENSG00000269981	130	71	89	214	128	148	142	63	122
ENSG00000239906	14	8	4	9	12	19	7	21	12
ENSG00000310528	0	0	0	2	0	0	0	0	0
RNU6-1100P	0	0	1	0	0	2	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
DDX11L2	6	4	3	0	2	11	2	0	4
WASH9P	71	68	162	77	75	281	113	66	240
DDX11L17	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0
ENSG00000308625	0	0	0	0	0	0	0	0	0
ENSG00000308544	0	0	0	0	0	0	0	0	0
ENSG00000292994	6	4	8	7	1	4	15	9	2
ENSG00000228463	0	0	0	0	0	0	0	0	0
ENSG00000306775	0	0	0	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0	3	0	0
RPL23AP24	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000290385	57	32	82	95	58	150	197	130	158
WBP1LP7	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0
ENSG00000250575	1	1	0	1	2	1	1	0	1
U6	0	0	2	0	0	0	0	0	0
ENSG00000293331	1	0	0	14	0	4	19	12	1
LINC00115	111	68	143	150	83	182	282	186	214
ENSG00000235146	0	0	0	0	0	1	0	0	0
MTND1P23	1	2	0	285	6	5	363	669	2
MTND2P28	24	44	28	788	31	36	794	1537	26
MTCO1P12	86	143	117	3196	159	191	2140	3650	136
ENSG00000278791	0	1	0	13	1	0	6	1	0
MTCO2P12	7	28	0	1586	29	1	1687	2517	1
