""	logFC	AveExpr	t	P.Value	adj.P.Val	B
YAP1	-2.99948994316559	5.38543047828833	-14.5881882457765	3.55096375053618e-08	0.000847508518340471	9.21400137446805
ALPK3	-7.2484932734782	0.8592330385009	-13.3796335654552	8.25692670994535e-08	0.000985340348931328	7.20297337002407
NEFL	2.52680059850301	6.49335864604858	10.5912225906313	7.76359563663645e-07	0.00494310785384731	6.4454390401054
TAGLN	-3.53687398924848	2.66801282107513	-10.5185898120781	8.28442259831116e-07	0.00494310785384731	6.05597177481533
PCDHA6	-5.87025014971747	-1.43058572971816	-10.0766934759675	1.24007715180752e-06	0.00546177305446792	4.64286226359875
SLFN12	-3.79318814991458	0.577117333457798	-9.88219767128731	1.48797584234846e-06	0.00546177305446792	5.14180686904831
RIPOR2	-3.38414081159119	2.71063598421739	-9.80435688729738	1.60189430516091e-06	0.00546177305446792	5.50781957684654
PSMD5	-7.00900232920834	0.464004164319602	-9.11069933099308	3.16018685841437e-06	0.008157781442111	4.54706796741619
ENSG00000289161	-5.70083424837963	-1.90783286968488	-8.890120146391	3.95674796147018e-06	0.008157781442111	3.75102143860925
NTRK3	1.83465409788608	4.64152387056168	8.82764909525755	4.2202308407431e-06	0.008157781442111	4.78976240306996
OLIG3	4.05263875685654	3.93420043453458	8.80545986893039	4.31835602920514e-06	0.008157781442111	4.74465912866302
PDGFA	1.88120886396706	6.32493337182359	8.73838120923433	4.63037217883711e-06	0.008157781442111	4.69745240748269
MAP3K13	-5.66940150045944	0.300181297849647	-8.71068313602314	4.76628054168389e-06	0.008157781442111	4.19617942897006
ACTA1	-5.02773739805533	-0.748145219175685	-8.64063535067552	5.12971297805653e-06	0.008157781442111	3.90451353910122
TUNAR	-1.99970080115668	4.98898904463615	-8.62918664560832	5.19192307112224e-06	0.008157781442111	4.59213324179905
CCN2	-4.4472387787491	0.981800487953159	-8.57997288572779	5.46882737980374e-06	0.008157781442111	4.2079542034024
ZNF649	-2.74398265421478	3.81609826495981	-8.4323850024483	6.39993565384302e-06	0.0086601414837963	4.3689635165321
SALL3	2.00589603170568	5.49469470534458	8.36454530246725	6.88448629911197e-06	0.0086601414837963	4.31227411034779
ZNF876P	-2.64289704301292	1.89808311454356	-8.3632455055646	6.89415042494363e-06	0.0086601414837963	4.14101039316814
SEZ6L	3.19700224219091	3.04517702371834	8.19573420756074	8.27192773906071e-06	0.00987130496740809	4.08664070529496
CNTFR	2.77951565280327	5.32543430325817	8.09203000460781	9.27280337279497e-06	0.0101860430619427	4.01983281378181
EFEMP1	1.76345755305223	5.38333237535594	8.0807606428563	9.38923816829677e-06	0.0101860430619427	4.00661931098146
CUTALP	-7.15370450957777	-1.50745137395358	-7.99681534399853	1.0308099988577e-05	0.0106966705403203	3.2114469393011
TRBC2	-2.29685424379054	2.0294138104987	-7.91439711729817	1.13057836790252e-05	0.0112431307944706	3.7217068943103
ENSG00000267364	-3.81904083273924	-1.74597484422341	-7.85393220170614	1.2104142492379e-05	0.011317852400352	3.0392712467112
LINC02984	3.68039846810946	0.745131228971943	7.73734324018551	1.38214441107225e-05	0.011317852400352	3.40677777103823
LINC01694	-3.11489191866771	-0.259163085711979	-7.73596340147187	1.38432853323845e-05	0.011317852400352	3.25616095355519
LINC00882	-4.49934710147429	-1.36138940201316	-7.73565338553232	1.38481976601912e-05	0.011317852400352	3.03238868774812
ARHGEF6	1.52872185732405	5.00697247253055	7.72560805628257	1.40083960246416e-05	0.011317852400352	3.61678436587723
CALCR	-5.1576588609803	-1.57627832589703	-7.71215123551494	1.42261520932903e-05	0.011317852400352	2.96375897275901
HESX1	-3.32957032030874	1.99435715740246	-7.64881408214589	1.53014722329409e-05	0.0114925157271394	3.44950497513592
SLC17A9	-3.80065244309869	1.74690028595429	-7.64276167336059	1.54087444282256e-05	0.0114925157271394	3.42206801058554
POSTN	2.98203047407446	3.2636393683492	7.48527814541797	1.85068799049016e-05	0.0133849606875845	3.34658552336972
NPIPA5	-4.38939076943931	-1.6226441492566	-7.35053347257447	2.16956674942722e-05	0.0151324409358511	2.64496464148801
EHHADH	-3.28042062378961	1.15856910503505	-7.33153616398241	2.21911188148819e-05	0.0151324409358511	3.04798943581462
TEK	-7.54370325002679	-0.905243827102767	-7.10862527832804	2.90137769123788e-05	0.0192353281546596	2.55926736739379
CRYAB	-2.81058600568894	-0.591698566458171	-7.01906880866313	3.23665451768532e-05	0.0206625419946241	2.52239852251861
DNAH17	-3.18594567757268	-1.573559075714	-6.97771579330917	3.40539100067347e-05	0.0206625419946241	2.31652501402925
RGS5	-3.72376836676448	1.69305566357252	-6.96837865525957	3.44478991643029e-05	0.0206625419946241	2.69936194650201
SCGB1B2P	-2.72714802763851	-0.525004461198534	-6.96411423508288	3.46294749983225e-05	0.0206625419946241	2.47748030403274
NLRP2	-1.83583704586074	6.94490086463425	-6.84924594335347	3.99307904645238e-05	0.0225082773048561	2.51821048528081
UPK3B	-3.63962940157664	-1.39188645915604	-6.84110962993687	4.03381793906937e-05	0.0225082773048561	2.21861940487476
INTS6L	1.48463224149874	4.36177081788966	6.83687353217414	4.05520561490264e-05	0.0225082773048561	2.58111332713834
CNTN2	-4.77635416788195	0.161646763537481	-6.69582025605861	4.84212241843037e-05	0.0254569056984213	2.27992616216443
POU3F4	3.58609337062655	2.3961034232057	6.69054013810761	4.87461052614862e-05	0.0254569056984213	2.4113623727988
SCN3A	3.05417114049622	-0.715414100805667	6.68540533164467	4.90643005877312e-05	0.0254569056984213	2.16671254445244
ENSG00000290700	-3.66916712751222	-1.28637155015552	-6.61204174028366	5.38635753753829e-05	0.0273523819890269	2.00885217964725
PDE4D	2.21188579635819	2.12439136050152	6.54394297129618	5.87734603348096e-05	0.0292178650791218	2.22916693342053
PCDHB5	-5.1344697923154	0.497703741659795	-6.5280739677238	5.99855611881245e-05	0.0292178650791218	2.12403023057262
ZNF516	1.29105652659359	5.59836456588525	6.50430635869147	6.18516191817376e-05	0.0295242519002106	2.10942510450107
PKLR	-4.88392526126193	-1.9076872538994	-6.48354724493831	6.35326738526025e-05	0.029732045624315	1.78239259193301
VPS9D1-AS1	-3.13460524946541	0.0542598398858942	-6.45345435831926	6.60575290640003e-05	0.0298624493867387	2.00375938813418
PROS1	2.44251808820164	3.62356213736128	6.45047022248068	6.63137309882747e-05	0.0298624493867387	2.11903292022347
SEPTIN6	1.93280499410031	7.40839242822465	6.41886961022958	6.90934133122511e-05	0.0305380091763611	1.94913113845965
LINC01896	2.3503339607788	3.38229371787055	6.40437843541641	7.04098243403357e-05	0.0305540232278326	2.06578959498525
C17orf107	2.25064120237333	2.16170964262671	6.38681606449148	7.20415278578254e-05	0.0307038418818343	2.04035037296113
HTR1A	-3.11813871455925	-0.556532816015241	-6.35161013231935	7.54363704861807e-05	0.0315282031032697	1.83038896316594
SUSD2	1.34220822902291	4.31128526232058	6.33723801864098	7.68713886267209e-05	0.0315282031032697	1.94810454452225
OLIG2	2.53539540226325	1.57362246745007	6.32214991904091	7.84095594834821e-05	0.0315282031032697	1.94460254323081
BUB1	-1.01576716254215	7.87689958931254	-6.3139464661395	7.92597388107504e-05	0.0315282031032697	1.79981299490683
ASPG	-3.70038016794851	-3.72744664968521	-6.27412837591684	8.35296549248821e-05	0.0326820044933141	1.26150753630228
SELENOP	1.42867918986241	5.19548991249703	6.25179990049091	8.60318135683088e-05	0.0331180853941101	1.79227941083919
CUL4B	1.02247491013184	7.24448984536936	6.20369925525241	9.17001781354004e-05	0.0347398119294857	1.66237876573175
RADX	1.63352129921797	4.25866335945627	6.16407339314575	9.66716654234376e-05	0.035700288564285	1.72231570111626
CCDC125	-5.78630217540229	-1.81252784163811	-6.15978297993642	9.72270816055024e-05	0.035700288564285	1.46507788135674
NKX3-2	4.17568037697125	-0.635955665449337	6.09868356600664	0.000105520158937554	0.0381583277782211	1.5396236233205
NFIA	2.45998458598521	1.94978840006149	6.05969932893596	0.00011120660634469	0.0388217755044964	1.63013602600294
PAX5	3.21824850289438	2.79308952085717	6.05939749780957	0.000111251896632975	0.0388217755044964	1.63203245391874
CSMD1	-3.60402366685073	-1.58716876145127	-6.03825604409955	0.000114474038427682	0.0388217755044964	1.36459759554638
IRF2BPL	1.0750568165913	7.22291878046086	6.02502575146869	0.000116541336084645	0.0388217755044964	1.41704518439745
MID1IP1	0.99842662884837	7.88973075652267	6.01864376598052	0.000117552854800808	0.0388217755044964	1.39476284246465
NEFM	1.86152926795281	6.15276949608809	6.016097225484	0.000117959099011607	0.0388217755044964	1.43287015945427
APCDD1	2.3630507336016	4.94866841410203	6.01122275894057	0.000118740923108402	0.0388217755044964	1.47906313674397
MGAT4C	2.24346920510399	3.35283820704775	5.91387247820807	0.000135578833987871	0.0429348990846054	1.42758585085453
TMEM178B	1.37630814169177	5.37293704168871	5.911391170867	0.000136040164954288	0.0429348990846054	1.31931878090487
ENSG00000226530	-3.18171543708197	-1.84391463510575	-5.90776085361499	0.000136718160239243	0.0429348990846054	1.19016739103676
PAPPA	-5.31290055721677	-0.578078093735683	-5.89679132096453	0.000138788943342072	0.0430191650746134	1.3119241010416
LINC02870	-3.23278588041498	-3.51014227815729	-5.87510566241511	0.00014298235885105	0.0434636888866321	0.91865024042159
KIF26B	2.08211761521073	1.92706179915541	5.87062699517402	0.000143865229062888	0.0434636888866321	1.38820518847099
ITPKB	2.02080610028569	4.86982662916508	5.84202092757537	0.000149644060299024	0.0446444348394601	1.24979581998311
ENSG00000303321	2.13398907405533	0.922864594157967	5.82729975743494	0.000152714534862783	0.0448706150821538	1.31233333852974
