ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0042773	ATP synthesis coupled electron transport	94	0.537152267170453	2.17340869005958	9.60807759349208e-08	0.000366440914631491	0.000345807504127871	5356	tags=43%, list=22%, signal=33%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/MT-CYB/MT-CO2/MT-ND2/MT-CO3/NDUFA1/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/NDUFC2/NDUFB4/NDUFA3/SNCA/COX6C/NDUFB3/UQCRB/MT-CO1/NDUFB8/NDUFA12/COX7B/UQCR10/UQCRH/NDUFA6/COA6/NDUFS5/SDHC/COX7A2/NDUFV3/NDUFA5/NDUFA2/CHCHD2/COX5B/NDUFS6/DGUOK/NDUFS4/COX7C
BP	GO:0042775	mitochondrial ATP synthesis coupled electron transport	94	0.537152267170453	2.17340869005958	9.60807759349208e-08	0.000366440914631491	0.000345807504127871	5356	tags=43%, list=22%, signal=33%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/MT-CYB/MT-CO2/MT-ND2/MT-CO3/NDUFA1/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/NDUFC2/NDUFB4/NDUFA3/SNCA/COX6C/NDUFB3/UQCRB/MT-CO1/NDUFB8/NDUFA12/COX7B/UQCR10/UQCRH/NDUFA6/COA6/NDUFS5/SDHC/COX7A2/NDUFV3/NDUFA5/NDUFA2/CHCHD2/COX5B/NDUFS6/DGUOK/NDUFS4/COX7C
BP	GO:0022904	respiratory electron transport chain	110	0.504431254093266	2.08614353854322	1.86816678374454e-07	0.000366440914631491	0.000345807504127871	5356	tags=41%, list=22%, signal=32%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/MT-CYB/MT-CO2/MT-ND2/MT-CO3/NDUFA1/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/NDUFC2/PPARGC1A/NDUFB4/NDUFA3/SNCA/COX6C/NDUFB3/UQCRB/ETFRF1/MT-CO1/NDUFB8/NDUFA12/COX7B/GBA1/UQCR10/UQCRH/ETFB/NDUFA6/COA6/NDUFS5/SDHC/COX7A2/NDUFV3/NDUFA5/NDUFA2/CHCHD2/COX5B/NDUFS6/DGUOK/NDUFS4/SLC25A51/COX7C
CC	GO:0097060	synaptic membrane	408	0.34356000585254	1.66363074893107	1.63143799555082e-07	0.000366440914631491	0.000345807504127871	3611	tags=28%, list=15%, signal=24%	DGKB/GLRA2/CDH9/SLITRK1/SLITRK3/GABRB2/SORCS3/LRRTM3/LRRC7/GRIK1/GAD2/GPM6A/KCNJ2/CNTN5/KCNA2/KCNC1/GRIA3/VWC2/TENM2/GRIN2B/FLRT2/GABRA1/GABRA3/SLC1A2/PCDH9/ATP2B2/SNAP25/FOSL1/NCAM2/GRIA4/KCNK2/KCNC3/P2RX6/CNIH3/NRXN3/OPRK1/SLITRK5/NLGN1/LINGO2/PCDH8/PTPRO/LRRC4C/RGS7BP/CACNG3/DGKI/CSPG5/KCND3/PDE10A/SHANK1/GABRB3/EGFR/NETO2/PPFIA2/ASIC2/SHISA6/CASR/KCTD8/SYNE1/KCNB1/CHRM2/NRCAM/KCNJ8/SLC5A7/SLC12A5/NLGN4X/SSPN/CASK/HCN1/LRRC4/ATP2B3/GABRG3/GABRA5/UNC13A/SRPX2/ERBB4/NAPEPLD/ARC/SYT1/GABRE/ADRA2A/IGSF8/CDH2/DMD/SYNDIG1/NCSTN/LRRTM4/ANK2/CNR1/IGSF11/ADAM23/SRGAP2/KCNA3/NSG2/CACNG8/FZD3/KCTD12/EFNB2/SCN8A/CNTN1/CHRNA2/ANP32E/RIMS1/SYNJ1/DNAJC6/KCND2/CACNG4/NECTIN3/VANGL2/LRP4/SNAP91/GRID2/ELFN1/GPHN/SLC4A8/UNC13C
BP	GO:0019646	aerobic electron transport chain	86	0.54477761275801	2.17077407380529	2.91410356491076e-07	0.000457281131405797	0.000431532725801733	6654	tags=52%, list=28%, signal=38%	MTCO2P12/MT-ND3/DNAJC15/NDUFB1/MT-CYB/MT-CO2/MT-ND2/MT-CO3/NDUFA1/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/NDUFC2/NDUFB4/NDUFA3/SNCA/COX6C/NDUFB3/UQCRB/MT-CO1/NDUFB8/COX7B/UQCR10/UQCRH/NDUFA6/NDUFS5/SDHC/COX7A2/NDUFV3/NDUFA5/NDUFA2/COX5B/NDUFS6/NDUFS4/SLC25A51/COX7C/NDUFB5/SDHA/NDUFB2/NDUFA7/ISCU/NDUFC1/COX5A/UQCRQ
BP	GO:0006119	oxidative phosphorylation	142	0.457288217027277	1.9586278532868	6.36104591628729e-07	0.000831812770986501	0.000784975385529207	5356	tags=39%, list=22%, signal=30%	MTCO2P12/MT-ND3/MT-ATP8/DNAJC15/NDUFB1/MT-CYB/MT-CO2/ATP5ME/MT-ATP6/MT-ND2/MT-CO3/NDUFA1/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/CHCHD10/NDUFC2/MACROH2A1/NDUFB4/NDUFA3/SNCA/COX6C/NDUFB3/UQCRB/MT-CO1/ATP5IF1/NDUFB8/NDUFA12/COX7B/UQCR10/UQCRH/NDUFA6/COA6/ATP5PF/SLC25A23/NDUFS5/NIPSNAP2/SDHC/ATP5MF/ATP5F1EP2/AK4/COX7A2/NDUFV3/ATP7A/NDUFA5/NDUFA2/CHCHD2/COX5B/NDUFS6/DGUOK/ATP5PO/NDUFS4/SLC25A51/COX7C
CC	GO:0062023	collagen-containing extracellular matrix	332	-0.419245599078499	-1.72951540582434	9.14616461570395e-07	0.0010251543939259	0.00096743040461446	3333	tags=30%, list=14%, signal=26%	COL14A1/LAMC2/ITIH4/MFGE8/COMP/COL13A1/ADAMTS2/CTSZ/SBSPON/LAMC3/NPNT/EGFL7/RTBDN/COL4A4/THSD4/SEMA3B/ANXA2/TGM4/LAMA5/ADAMTSL4/WNT2B/COL20A1/COL8A1/COL6A2/COL16A1/TINAGL1/APOE/COL23A1/AHSG/CTSD/THBS4/CD151/SERPINA5/LEFTY2/BCAM/HMCN2/EFEMP2/HSPG2/TNXB/TGM2/COL6A3/CHADL/HAPLN3/COL21A1/COL26A1/MATN3/LGALS3/COL11A2/GPC4/SERPINB9/ITGB4/LRRC15/NTN1/SERPINE1/AGRN/F13A1/PRTN3/CCDC80/ANXA8/CTHRC1/HAPLN2/ADAMTS4/MMP23B/COL5A2/SPN/BCAN/ANXA2P2/ACHE/GREM1/MMP9/CDH13/THBS1/PCOLCE/SOST/COL8A2/HAPLN1/VWA2/SERPINF2/COL9A3/TNC/LAMB3/COL18A1/LAD1/APOA1/VWF/ANXA1/MFAP5/ENTPD2/AZGP1/A2M/PODN/PDGFB/COL1A1/CCN1/MATN4/ZP3/S100A6/CCN2
CC	GO:0098803	respiratory chain complex	102	0.495185679135465	2.03084557548854	1.20282219028549e-06	0.0011796678631225	0.00111324359032476	6654	tags=54%, list=28%, signal=39%	MTCO2P12/MT-ND3/MT-ATP8/NDUFB1/MT-CYB/MT-CO2/ATP5ME/MT-ATP6/MT-ND2/MT-CO3/NDUFA1/ATP5MK/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/NDUFC2/NDUFB4/NDUFA3/COX6C/NDUFB3/UQCRB/MT-CO1/NDUFB8/NDUFA12/COX7B/ATP5MJ/UQCR10/UQCRH/NDUFA6/ATP5PF/NDUFS5/SDHC/STMP1/ATP5MF/COX7A2/NDUFV3/NDUFA5/NDUFA2/COX5B/NNT/NDUFS6/ATP5PO/NDUFS4/COX7C/ATP5PD/NDUFB5/SDHA/ATP5MG/NDUFB2/NDUFA7/ATP5F1C/NDUFC1/COX5A/UQCRQ
BP	GO:0097530	granulocyte migration	101	-0.557840194396847	-2.00324662042669	1.59895084246239e-06	0.00139392981221777	0.00131544096209128	3378	tags=32%, list=14%, signal=27%	TRPV4/MPP1/JAML/SCG2/CXCR2/CD74/DAPK2/CMKLR1/ITGB2/PIK3CD/MCOLN2/THBS4/IL34/IL17RC/LGALS3/XG/RAC3/PRTN3/PTGER4/DPEP1/SYK/THBS1/C5AR2/ADAM8/CCL25/ANXA1/EDN1/VAV1/S100A14/RIPOR2/CCL26/CD300A
BP	GO:0009060	aerobic respiration	190	0.402789946265719	1.78915818471746	1.84487233331922e-06	0.00144748683272226	0.00136598231500709	6677	tags=41%, list=28%, signal=29%	MTCO2P12/MT-ND3/MT-ATP8/NDP/DNAJC15/NDUFB1/MT-CYB/MT-CO2/ATP5ME/MT-ATP6/MT-ND2/MT-CO3/NDUFA1/MT-ND1/MT-ND4/MT-ND4L/MT-ND5/CHCHD10/NDUFC2/MACROH2A1/NDUFB4/NDUFA3/SNCA/COX6C/NDUFB3/UQCRB/MT-CO1/ATP5IF1/NDUFB8/NDUFA12/COX7B/UQCR10/UQCRH/NDUFA6/COA6/ATP5PF/SLC25A23/NDUFS5/NIPSNAP2/SDHC/SLC25A14/ATP5MF/ATP5F1EP2/IDE/AK4/COX7A2/NDUFV3/ATP7A/NDUFA5/NDUFA2/HIF1A/CHCHD2/COX5B/NNT/NDUFS6/DGUOK/MDH1B/ATP5PO/NDUFS4/SLC25A51/FH/COX7C/ATP5PD/KGD4/NDUFB5/SDHA/ATP5MG/NDUFB2/ADSL/NDUFA7/ISCU/ATP5F1C/NDUFC1/COX5A/SUCLG1/UQCRQ/BNIP3
