ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0007498	mesoderm development	121	-0.509814737052805	-1.89351287404849	8.67365131321052e-07	0.00226844894011499	0.00216232605545125	3782	tags=30%, list=16%, signal=25%	EPHA2/NOG/SIX2/ITGB4/BMP7/FOXC2/BTK/PAX2/VEGFA/TBX6/FOXH1/AXIN1/AMH/HCK/ARMC5/NCLN/ITGA3/MESP1/DAND5/LHX2/BMP4/TAL1/WNT3/ETV2/WNT3A/TBX3/TBXT/OVOL1/TBX1/CER1/HES7/KLF4/WNT11/FGF8/TRIM15/NODAL
BP	GO:0009913	epidermal cell differentiation	162	-0.49012689311062	-1.89145433675645	4.90652086971404e-07	0.00226844894011499	0.00216232605545125	5529	tags=41%, list=23%, signal=32%	EXTL3/MAFF/MAFB/FLNB/KRT7/MAFG/TRIM16/WHRN/KEAP1/SPINK5/ANKRD24/AKR1C3/ERCC2/GLI1/MAP2K1/JAG2/FOSL2/EXPH5/POU2F3/EPHA2/SHARPIN/TMEM79/TGM1/ZFP36/ANXA1/PPL/USH2A/ESRP1/TPRN/PDZD7/PLEC/KRT17/ABCA12/NME2/PTCH2/SLC44A4/GRHL1/KCNQ1/CDKN1A/ALOX15B/FOXI3/SULT2B1/BMP4/PRKCH/MCOLN3/FA2H/SCRIB/SFN/DLL1/CDH3/DLX3/ST14/MSX2/EVPL/TMEM132E/PITX2/WNT16/VDR/DNASE1L2/OVOL1/IRF6/CSTA/GRHL2/KLF4/KDF1/OVOL2/ATOH1
BP	GO:0044282	small molecule catabolic process	315	-0.408758040178083	-1.67338386428098	8.19855894973207e-07	0.00226844894011499	0.00216232605545125	7627	tags=45%, list=32%, signal=31%	SLC27A2/ACOXL/PFKFB2/ACAD8/PLIN5/ENO2/IDO1/GLB1L3/FUT2/PGK1/SCARB1/APOBEC3C/BCL2L13/ARG1/ACOT7/SCARF1/ACOX1/PFKM/SCP2/BCAT2/MCAT/SDSL/NQO2/PGAM1/ACAD10/LPIN3/FUT4/HSD17B10/MAT1A/GLUD2/CYP27B1/ENO3/PCCB/CRAT/PEX5/FAH/GLDC/ACOX3/DPEP1/LRP5/ALDH1L1/GOT1/AMDHD1/AKT2/IVD/ABCD4/NAGK/HDC/TST/ABHD3/MIOX/HAAO/PAH/HMGCL/OAT/SNX17/CYP26A1/BCKDK/TKTL1/ALDH1L2/ECI1/ECHS1/BCKDHA/ACOT8/HAGH/AKR1C3/CRYM/PGM1/ABCD1/CRYL1/TKFC/KYAT1/ACAD11/ACSF3/CYP27A1/DLST/GLS2/CDA/PPM1K/XDH/ENO1/FOXK1/AKT1/AMT/ACAA1/GDA/DECR2/SULT1A3/AKR1A1/NUDT1/SLC27A4/MGAT1/RENBP/BAD/MPST/APOE/PLA2G15/GSTZ1/TYSND1/GCAT/ALDH8A1/PDXP/CYP1A1/GALE/ACOT4/PFKL/GATD1/GCDH/FAAH/ACSS1/GLYCTK/HPD/LDHD/ECHDC2/GALK1/SDS/GPT2/CBS/CBR3/ALDH3B2/GAD1/CYP24A1/ILVBL/SESN2/NUDT8/ADTRP/IL4I1/ALDH4A1/AMDHD2/CPT1A/SULT1A2/FUT1/TAT/UPP1/DHDH/PCK2/PRODH/PON1/SLC16A3/OXCT2/ACADS/CYP26C1
BP	GO:0008544	epidermis development	273	-0.419917241219086	-1.70291103108061	3.72150324961776e-06	0.00569367650656248	0.00542731416331841	5574	tags=36%, list=23%, signal=28%	FUZ/EXTL3/HLA-DRB1/MAFF/MAFB/FLNB/PLOD1/KRT7/MAFG/TRIM16/WHRN/FERMT1/KEAP1/SPINK5/ANKRD24/FABP5/AKR1C3/LSR/ERCC2/PLOD3/GLI1/LGR5/MAP2K1/JAG2/NAB2/FOSL2/LAMC2/COL7A1/EXPH5/POU2F3/PDGFA/CYSRT1/EPHA2/SHARPIN/BNC1/TMEM79/TGM1/ZFP36/GAL/ANXA1/PPL/USH2A/ESRP1/TPRN/PIAS4/EMP1/PDZD7/PLEC/KRT17/ABCA12/NME2/LAMB3/PTCH2/SLC44A4/AGPAT2/LAMA5/GRHL1/KCNQ1/CDKN1A/ALOX15B/NAGLU/COL6A1/FOXI3/SULT2B1/LHX2/BMP4/PRKCH/MCOLN3/SPINT1/FA2H/SCRIB/SFN/DLL1/CDH3/DLX3/ALOXE3/ST14/MSX2/EVPL/TMEM132E/PITX2/NGFR/WNT16/VDR/DNASE1L2/TRADD/OVOL1/IRF6/CCN2/CSTA/GRHL2/KLF4/KDF1/OVOL2/ATOH1/SOX18/CLDN4/PKP3
CC	GO:0045211	postsynaptic membrane	291	0.326197552579057	1.59739360279602	3.48498387759374e-06	0.00569367650656248	0.00542731416331841	3010	tags=24%, list=13%, signal=21%	DGKB/GRM3/GLRA2/CDH9/CHRNA1/GRM5/SUSD4/HTR3C/PTPRO/GRIK1/GRIN2B/ATP2B2/NSG2/SLITRK3/GABRA3/NRCAM/GRIA1/DCC/SLITRK1/PTPRT/LRRC7/NLGN3/CHRNA2/SORCS3/FLRT3/SSPN/DRD2/NRP2/KCNC1/CACNG8/KCND3/GRIA4/GABRE/TENM2/KCNA1/HCN1/ANK2/SHISA6/NLGN4X/CHRNB2/IQSEC3/KCNC3/KCTD8/GRIA3/LRRC4C/CNTN2/SHANK1/PCDH8/KCNA3/CDH2/ACTN2/LIN7A/NLGN1/CBLN1/KCNK2/FAIM2/KCTD12/SHANK2/PRRT2/SRGAP2/SLC6A1/DNM3/FXYD6/NECTIN3/RGS7BP/ANP32E/NAPEPLD/IGSF11/GABRB2/KCNA2
CC	GO:0097060	synaptic membrane	408	0.299407381019388	1.5412655577181	4.35407329076917e-06	0.00569367650656248	0.00542731416331841	4757	tags=30%, list=20%, signal=24%	DGKB/GRM3/GLRA2/CDH9/CHRNA1/GRM5/SUSD4/HTR3C/PTPRO/GRIK1/GRIN2B/ATP2B2/NSG2/SLITRK3/NCAM2/DGKI/GABRA3/NRCAM/GRIA1/DCC/RIMS1/LINGO2/SLITRK1/PTPRT/LRRC7/NLGN3/CHRNA2/SORCS3/FLRT3/PPFIA2/SSPN/DRD2/NRP2/KCNC1/CACNG8/KCND3/GRIA4/GABRE/TENM2/KCNA1/HCN1/ANK2/SNAP25/SRPX2/SHISA6/CASR/NLGN4X/CHRNB2/IQSEC3/KCNC3/KCTD8/CRYAB/GRIA3/NRXN3/LRRC4C/CNTN2/ADAM23/SHANK1/PCDH8/KCNA3/CDH2/ACTN2/LIN7A/NLGN1/CBLN1/KCNK2/FAIM2/KCTD12/GPM6A/SHANK2/ATP2B4/PRRT2/SRGAP2/SLC6A1/DNM3/GAD2/FXYD6/NECTIN3/ATP2B3/GPER1/RGS7BP/ANP32E/NAPEPLD/IGSF11/GABRB2/KCNJ8/KCNA2/ABCC8/NCSTN/SNAP91/RPH3A/GLRB/PDE10A/GABBR1/CLSTN2/GABRG2/STRN/PTPRD/SYNJ1/SYT1/SLC12A5/GABRG3/CADM3/RAB3GAP2/ASIC1/CNTNAP2/SLC1A2/ADRA2A/CSPG5/NRXN1/TRPV1/NEO1/NETO2/ADAM22/EGFR/DAGLA/GABRA1/ADORA1/IL1RAPL1/STXBP1/AKAP9/NRXN2
BP	GO:0048568	embryonic organ development	382	-0.376096152923203	-1.55979470369142	2.00513915672318e-05	0.0224747454623573	0.0214233288849898	4042	tags=26%, list=17%, signal=22%	KRT19/FZD5/TMIE/RARA/PTK7/WNT7B/PDGFA/EPHA2/NOG/RARG/HS6ST1/GDNF/CDC42/SIX2/IRX5/AKT1/EDN1/LIF/USH1G/MEGF8/A2M/CCN1/TPRN/BMP7/EPAS1/FOXC2/COBL/TEAD4/PAX2/VEGFA/PDZD7/CEBPB/ADM/ALDH1A2/DVL2/FOXH1/SPINT2/MTHFD1/MMP14/SLC44A4/SOX15/EGLN1/PLCD3/KCNQ1/MDFI/TFEB/EPN1/NAGLU/GATA2/PAX5/MBD3/MESP1/PHLDA2/BMP4/PCDH12/KRT8/PKD1/DVL1/ALX3/ALDH1A3/MSX1/SPINT1/SCRIB/TAL1/GATA4/DLL1/TCAP/SLC39A3/ST14/WNT9B/SOCS3/DLX2/HPN/WNT3A/PITX2/WNT16/NOTO/PDGFB/HOXC4/TBX3/MFAP5/CITED1/FOXL2/IGF2/TBX1/CEBPA/OTX1/GATA3/TBX15/GRHL2/OVOL2/ATOH1/SOX18/NTN1/WNT11/FGF8/HOXB1/NODAL
BP	GO:0045746	negative regulation of Notch signaling pathway	38	-0.644680237823622	-2.03509735489249	2.62790521793387e-05	0.025494783799018	0.0243020833803377	4046	tags=45%, list=17%, signal=37%	SLC35C1/ARRB1/AKT1/BMP7/LFNG/MMP14/DLK2/GATA2/NEURL1/ARRDC1/DLL1/EGFL7/DLX2/OVOL2/CDK3/DLL4/CHAC1
BP	GO:0048333	mesodermal cell differentiation	29	-0.68164830718008	-2.01852062882537	3.58937565954486e-05	0.025494783799018	0.0243020833803377	3510	tags=45%, list=15%, signal=38%	SIX2/ITGB4/FOXC2/PAX2/TBX6/ITGA3/MESP1/BMP4/TAL1/WNT3A/KLF4/TRIM15/NODAL
BP	GO:0048332	mesoderm morphogenesis	68	-0.550121700631445	-1.90585523534274	4.87409835566237e-05	0.025494783799018	0.0243020833803377	3782	tags=34%, list=16%, signal=29%	EPHA2/NOG/SIX2/ITGB4/BMP7/FOXC2/PAX2/TBX6/AXIN1/ARMC5/ITGA3/MESP1/BMP4/TAL1/WNT3/ETV2/WNT3A/TBX3/TBXT/KLF4/WNT11/TRIM15/NODAL
