""	WT_1	WT_2	Y2_1	Y2_2	YT_1	YT_2
DDX11L16	0	0	2	0	2	3
DDX11L1	0	0	0	0	0	0
WASH7P	139	141	200	142	201	89
MIR6859-1	0	0	0	0	0	0
MIR1302-2HG	2	1	0	2	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
ENSG00000308361	1	0	1	0	1	0
ENSG00000290826	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
ENSG00000241860	2	1	9	1	2	6
ENSG00000239945	0	0	0	0	0	0
ENSG00000308314	0	0	0	0	0	0
CICP27	0	0	0	0	0	0
ENSG00000308579	39	25	58	33	53	101
ENSG00000268903	3	0	1	4	0	0
ENSG00000269981	130	71	214	128	142	63
ENSG00000239906	14	8	9	12	7	21
ENSG00000310528	0	0	2	0	0	0
RNU6-1100P	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
DDX11L2	6	4	0	2	2	0
WASH9P	71	68	77	75	113	66
DDX11L17	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0
ENSG00000308625	0	0	0	0	0	0
ENSG00000308544	0	0	0	0	0	0
ENSG00000292994	6	4	7	1	15	9
ENSG00000228463	0	0	0	0	0	0
ENSG00000306775	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	3	0
RPL23AP24	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000290385	57	32	95	58	197	130
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
ENSG00000250575	1	1	1	2	1	0
U6	0	0	0	0	0	0
ENSG00000293331	1	0	14	0	19	12
LINC00115	111	68	150	83	282	186
ENSG00000235146	0	0	0	0	0	0
MTND1P23	1	2	285	6	363	669
MTND2P28	24	44	788	31	794	1537
MTCO1P12	86	143	3196	159	2140	3650
ENSG00000278791	0	1	13	1	6	1
MTCO2P12	7	28	1586	29	1687	2517
MTATP8P1	0	0	2	0	1	0
MTATP6P1	470	1095	17561	1481	23536	40773
MTCO3P12	71	97	1239	82	1222	1959
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0
CICP3	0	0	0	0	0	0
RNU6-1199P	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0
LINC01409	3	15	20	24	87	48
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	0	0	0	0	0	0
FAM87B	0	0	0	4	0	0
LINC01128	241	224	489	219	670	442
ENSG00000297178	0	0	0	0	0	0
ENSG00000297224	0	0	0	0	0	0
FAM41C	0	1	1	0	0	0
TUBB8P11	0	0	4	0	0	3
ENSG00000283040	0	0	0	0	0	0
ENSG00000296088	0	0	0	0	0	0
ENSG00000272438	55	35	248	72	135	84
ENSG00000298603	0	0	0	0	0	0
LINC02593	0	1	49	8	1	8
SAMD11	4	7	294	13	2	36
NOC2L	5386	4794	10710	3119	5757	3399
KLHL17	356	301	629	350	486	151
PLEKHN1	51	45	59	10	6	8
PERM1	0	0	1	0	1	0
ENSG00000303599	0	0	1	0	0	0
ENSG00000272512	1	4	3	2	1	0
HES4	6	4	35	19	13	8
ENSG00000303623	2	0	1	3	0	0
ISG15	259	230	301	204	370	139
ENSG00000303614	0	0	0	1	0	0
ENSG00000231702	0	0	12	0	11	3
ENSG00000224969	0	0	0	0	1	0
AGRN	6585	5006	5090	4690	5358	1017
ENSG00000242590	0	0	0	0	0	0
ENSG00000291156	65	47	47	28	67	52
ENSG00000273443	1	0	0	1	0	0
ENSG00000217801	0	0	0	2	0	0
ENSG00000304119	15	8	24	11	36	21
ENSG00000304169	0	2	0	1	4	1
RNF223	0	2	1	0	0	0
C1orf159	343	320	608	416	616	262
ENSG00000285812	0	0	0	0	0	0
ENSG00000299943	2	0	0	0	0	0
LINC01342	0	0	0	0	0	0
ENSG00000304965	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
ENSG00000272141	7	8	0	0	0	0
TTLL10-AS1	0	2	0	1	3	1
TTLL10	10	15	0	16	52	4
TNFRSF18	16	15	0	0	0	0
TNFRSF4	0	2	0	4	6	0
SDF4	2482	2371	5517	2639	4052	1703
B3GALT6	560	518	1277	641	1321	1057
C1QTNF12	17	25	15	11	5	4
ENSG00000260179	1	1	5	2	4	3
UBE2J2	1904	1668	3105	1415	2590	1082
LINC01786	12	11	7	9	13	3
SCNN1D	42	32	48	95	96	13
ACAP3	633	509	874	679	835	158
MIR6726	0	0	0	0	0	0
PUSL1	864	769	1053	482	653	193
INTS11	2754	2486	4467	1992	4394	2057
MIR6727	0	0	0	0	0	0
ENSG00000240731	14	12	16	21	22	0
CPTP	437	390	763	365	489	193
TAS1R3	0	4	2	6	5	4
DVL1	1427	1353	2620	1185	1181	474
MIR6808	0	0	0	0	0	0
ENSG00000304860	0	1	5	3	7	0
MXRA8	205	211	200	388	483	51
AURKAIP1	2435	2388	4298	1866	2236	809
NDUFB4P8	0	0	0	0	0	0
CCNL2	1333	1280	2621	1277	2572	1276
MRPL20-AS1	383	376	806	366	656	335
MRPL20	1275	1261	2958	1074	3052	2352
RN7SL657P	0	0	0	0	0	0
ENSG00000301639	15	15	15	11	32	21
MRPL20-DT	54	48	74	44	127	75
ANKRD65	7	6	9	17	21	10
ANKRD65-AS1	2	3	1	0	0	3
TMEM88B	98	76	274	88	238	217
LINC01770	85	81	82	112	173	51
VWA1	768	717	1737	990	1480	630
ATAD3C	8	13	13	15	47	16
ATAD3B	752	680	1387	323	341	186
ENSG00000290916	1	2	1	0	0	0
ENSG00000284740	0	0	0	0	0	0
ATAD3A	1112	1002	2070	575	656	336
TMEM240	58	35	68	70	99	18
ENSG00000299413	0	0	0	0	0	0
SSU72	4467	3762	8606	3024	9274	6700
SSU72-AS1	30	21	42	6	10	13
ENSG00000274481	0	0	0	0	0	0
FNDC10	1212	1017	2366	1432	2772	888
ENSG00000286989	22	24	48	27	41	14
ENSG00000272106	140	135	157	163	467	271
MIB2	605	508	1006	565	729	230
MMP23B	11	5	12	14	16	0
CDK11B	1376	1271	2319	986	2588	1319
ENSG00000272004	6	4	13	6	16	5
SLC35E2B	2286	2079	4619	2408	4960	2538
ENSG00000293187	1	0	0	0	0	0
ENSG00000269737	0	0	0	1	0	0
ENSG00000310190	2	3	1	2	3	2
ENSG00000310238	89	85	153	73	76	11
MMP23A	0	0	0	0	0	0
CDK11A	23	21	35	16	14	3
ENSG00000268575	66	60	75	66	174	68
ENSG00000293188	0	2	2	1	3	0
ENSG00000290854	61	67	74	65	110	44
SLC35E2A	0	0	0	0	0	0
ENSG00000227775	0	0	0	0	0	0
NADK	2543	2104	4716	1903	3418	1826
ENSG00000302550	0	1	3	2	9	0
GNB1	17417	16400	27364	13941	36829	22757
GNB1-DT	7	3	23	3	20	20
