ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0044282	small molecule catabolic process	322	-0.423421332359632	-1.88871730687852	1.88093238197286e-09	1.48499611556757e-05	1.39980967795243e-05	6905	tags=41%, list=28%, signal=30%	ECI1/QDPR/SCARB1/CYP1A1/PEX5/GCK/FAAH/PPARA/PCCB/PFKM/PPARD/PRODH/ENTPD7/SLC16A1/APOBEC3C/LRP5/FAH/LPIN3/FOXK1/LDHD/GPT2/TKFC/TST/AKT1/ABCD1/ACOX3/AMT/RENBP/PFKP/ACOT7/NUDT1/GNPDA1/MCAT/MIOX/PGAM1/KYAT1/PMM2/SNX17/BCKDK/FUT2/DECR2/AKT2/SORD/HMGCL/CARNS1/PIPOX/ALDH1B1/FUT1/SLC27A4/HK1/DLST/ACOT8/FUT4/NTSR1/CRYM/TYSND1/ALDH1L1/SCARF1/ADTRP/ACSF3/IVD/PCK2/ARG2/TKTL1/FTCD/CYP26A1/BAD/UPP1/HNMT/ENO1/LDHC/UROC1/ACAD11/ECHS1/NUDT8/PFKL/HPD/AKR1A1/ACAA1/GAD1/GLS2/ALDH3B1/APOBEC3G/BCAT2/CYP27B1/GSTZ1/APOE/GATD1/GALE/GLYCTK/NOS2/MPST/TAT/GCAT/MGAT1/PAH/ACSS1/PLA2G15/HOGA1/ILVBL/AICDA/AASS/BCKDHA/PGAM2/GALK1/DHDH/AKR1C3/SDS/GCDH/IL4I1/SULT1A3/DPEP1/ECHDC2/UPP2/MAT1A/PDXP/ALDH4A1/CBS/ACOT4/ACADS/AMDHD2/CYP26C1/IDO1/ACOXL/SULT1A2/EHHADH/HDC/TWIST1/PON1/GDA/SLC16A3/OXCT2/MTLN
BP	GO:0019646	aerobic electron transport chain	86	0.583237347711175	2.24080650887454	7.32587383138588e-09	2.89188869493958e-05	2.72599620988938e-05	4652	tags=40%, list=19%, signal=32%	MTCO2P12/MT-ND3/NDUFB1/MT-CO2/MT-ND4/MT-ND5/MT-CYB/MT-ND2/MT-ND1/MT-ND4L/DNAJC15/MT-CO3/NDUFC2/NDUFA1/MT-CO1/COX6C/NDUFA3/NDUFB4/UQCRB/NDUFB8/UQCRH/NDUFB3/SNCA/NDUFA6/COX7C/COX7B/NDUFV2/UQCR10/NDUFS4/COX7A2/NDUFS5/NDUFV3/NDUFA7/COX5B
BP	GO:0042773	ATP synthesis coupled electron transport	94	0.557548703122054	2.17988281853419	7.21721501937936e-08	0.000142449781445	0.000134278184702663	4652	tags=37%, list=19%, signal=30%	MTCO2P12/MT-ND3/NDUFB1/MT-CO2/MT-ND4/MT-ND5/MT-CYB/MT-ND2/MT-ND1/MT-ND4L/DNAJC15/MT-CO3/NDUFC2/NDUFA1/MT-CO1/COX6C/NDUFA3/NDUFB4/UQCRB/NDUFB8/UQCRH/NDUFB3/NDUFA12/SNCA/NDUFA6/COX7C/COX7B/NDUFV2/UQCR10/NDUFS4/COX7A2/NDUFS5/NDUFV3/NDUFA7/COX5B
BP	GO:0042775	mitochondrial ATP synthesis coupled electron transport	94	0.557548703122054	2.17988281853419	7.21721501937936e-08	0.000142449781445	0.000134278184702663	4652	tags=37%, list=19%, signal=30%	MTCO2P12/MT-ND3/NDUFB1/MT-CO2/MT-ND4/MT-ND5/MT-CYB/MT-ND2/MT-ND1/MT-ND4L/DNAJC15/MT-CO3/NDUFC2/NDUFA1/MT-CO1/COX6C/NDUFA3/NDUFB4/UQCRB/NDUFB8/UQCRH/NDUFB3/NDUFA12/SNCA/NDUFA6/COX7C/COX7B/NDUFV2/UQCR10/NDUFS4/COX7A2/NDUFS5/NDUFV3/NDUFA7/COX5B
CC	GO:0098803	respiratory chain complex	102	0.533616568847952	2.10057779076197	2.15527748579109e-07	0.000340318315006413	0.000320796038411432	4823	tags=40%, list=19%, signal=33%	MTCO2P12/MT-ND3/MT-ATP8/NDUFB1/MT-CO2/ATP5ME/MT-ND4/MT-ND5/MT-CYB/MT-ATP6/MT-ND2/MT-ND1/MT-ND4L/MT-CO3/NDUFC2/NDUFA1/MT-CO1/COX6C/NDUFA3/ATP5MK/NDUFB4/UQCRB/ATP5MJ/NDUFB8/UQCRH/NDUFB3/NDUFA12/NDUFA6/COX7C/COX7B/ATP5PF/NDUFV2/UQCR10/NDUFS4/COX7A2/NDUFS5/STMP1/NDUFV3/NDUFA7/COX5B/ATP5PO
BP	GO:0044248	cellular catabolic process	282	-0.406803042200185	-1.79853372328266	3.42381358703552e-07	0.00045051680449409	0.000424673018602476	6704	tags=39%, list=27%, signal=29%	CAPN1/IDS/ECI1/QDPR/ZNRF3/PEX5/SUCLA2/FAAH/PPARA/PCCB/PPARD/PRODH/SLC16A1/ANXA2/FAH/CTSH/LPIN3/LDHD/GPT2/TST/HPSE/AKT1/ABCD1/ACOX3/AMT/RENBP/ACOT7/GNPDA1/MCAT/SGSH/KYAT1/BCKDK/DECR2/AKT2/GGT7/SORD/HMGCL/CARNS1/PIPOX/MVB12A/SLC27A4/DLST/ACOT8/CRYM/TYSND1/ALDH1L1/LAPTM5/ADTRP/ACSF3/IVD/PCK2/ARG2/FURIN/FTCD/CYP26A1/NPEPPSP1/HNMT/GGT5/LDHC/UROC1/ACAD11/ECHS1/NUDT8/HPD/AKR1A1/ACAA1/GAD1/GLS2/PCSK9/BCAT2/ADAMTS13/GSTZ1/HYAL1/GPC1/APOE/NAGLU/NOS2/MPST/TAT/GCAT/PAH/ACE/NAALADL1/GGT1/PLA2G15/HOGA1/ILVBL/AASS/BCKDHA/SDS/GCDH/IL4I1/DPEP1/ECHDC2/MAT1A/HAMP/ALDH4A1/CBS/ACOT4/ACADS/AMDHD2/CYP26C1/IDO1/ACOXL/EHHADH/HDC/TWIST1/PON1/SLC16A3/MTLN
BP	GO:0022904	respiratory electron transport chain	110	0.513217554037394	2.04182632053964	5.00231531175162e-07	0.000564189705518272	0.000531825101565172	5110	tags=36%, list=20%, signal=29%	MTCO2P12/MT-ND3/NDUFB1/MT-CO2/MT-ND4/MT-ND5/MT-CYB/MT-ND2/MT-ND1/MT-ND4L/DNAJC15/MT-CO3/NDUFC2/NDUFA1/MT-CO1/PPARGC1A/COX6C/NDUFA3/NDUFB4/UQCRB/ETFRF1/NDUFB8/UQCRH/NDUFB3/NDUFA12/SNCA/NDUFA6/COX7C/COX7B/NDUFV2/UQCR10/NDUFS4/COX7A2/NDUFS5/NDUFV3/NDUFA7/COX5B/ETFB/GBA1/DGUOK
BP	GO:0016054	organic acid catabolic process	213	-0.424602666381469	-1.81662013466537	6.9396265807852e-07	0.000608759465058879	0.000573838127791244	6617	tags=39%, list=26%, signal=29%	FAAH/PPARA/PCCB/PPARD/PRODH/SLC16A1/FAH/LPIN3/LDHD/GPT2/TST/AKT1/ABCD1/ACOX3/AMT/RENBP/ACOT7/GNPDA1/MCAT/KYAT1/BCKDK/DECR2/AKT2/SORD/HMGCL/CARNS1/PIPOX/SLC27A4/DLST/ACOT8/CRYM/TYSND1/ALDH1L1/ADTRP/ACSF3/IVD/PCK2/ARG2/FTCD/CYP26A1/HNMT/LDHC/UROC1/ACAD11/ECHS1/NUDT8/HPD/AKR1A1/ACAA1/GAD1/GLS2/BCAT2/GSTZ1/NOS2/MPST/TAT/GCAT/PAH/PLA2G15/HOGA1/ILVBL/AASS/BCKDHA/SDS/GCDH/IL4I1/DPEP1/ECHDC2/MAT1A/ALDH4A1/CBS/ACOT4/ACADS/AMDHD2/CYP26C1/IDO1/ACOXL/EHHADH/HDC/TWIST1/PON1/SLC16A3/MTLN
BP	GO:0046395	carboxylic acid catabolic process	213	-0.424602666381469	-1.81662013466537	6.9396265807852e-07	0.000608759465058879	0.000573838127791244	6617	tags=39%, list=26%, signal=29%	FAAH/PPARA/PCCB/PPARD/PRODH/SLC16A1/FAH/LPIN3/LDHD/GPT2/TST/AKT1/ABCD1/ACOX3/AMT/RENBP/ACOT7/GNPDA1/MCAT/KYAT1/BCKDK/DECR2/AKT2/SORD/HMGCL/CARNS1/PIPOX/SLC27A4/DLST/ACOT8/CRYM/TYSND1/ALDH1L1/ADTRP/ACSF3/IVD/PCK2/ARG2/FTCD/CYP26A1/HNMT/LDHC/UROC1/ACAD11/ECHS1/NUDT8/HPD/AKR1A1/ACAA1/GAD1/GLS2/BCAT2/GSTZ1/NOS2/MPST/TAT/GCAT/PAH/PLA2G15/HOGA1/ILVBL/AASS/BCKDHA/SDS/GCDH/IL4I1/DPEP1/ECHDC2/MAT1A/ALDH4A1/CBS/ACOT4/ACADS/AMDHD2/CYP26C1/IDO1/ACOXL/EHHADH/HDC/TWIST1/PON1/SLC16A3/MTLN
MF	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	66	0.56968177818537	2.10043024033101	1.53587919861687e-06	0.00110234238846184	0.00103910678796376	4652	tags=44%, list=19%, signal=36%	MTCO2P12/MT-ND3/NDUFB1/MT-CO2/MT-ND4/MT-ND5/MT-CYB/MT-ND2/MT-ND1/MT-ND4L/MT-CO3/NDUFC2/NDUFA1/MT-CO1/NDUFA3/NDUFB4/NDUFB8/UQCRH/NDUFB3/NDUFA12/NDUFA6/COX7B/NDUFV2/UQCR10/NDUFS4/NDUFS5/NDUFV3/NDUFA7/COX5B
