ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0044282	small molecule catabolic process	322	-0.406776835412704	-1.87639664525284	7.49579742898702e-09	5.91793207018525e-05	5.68181445117216e-05	6642	tags=39%, list=27%, signal=29%	FUT4/ACOX1/ADCY10/SDSL/GLUD2/NQO2/GNPDA1/QDPR/CRAT/PPM1K/GAD1/ABCD4/OAT/PPARD/PMM2/FAH/LPIN3/CDA/AICDA/ALDH8A1/PFKFB2/GLDC/DPEP1/PCCB/KYAT1/CRYM/UROC1/BCAT2/ACOT8/PFKM/HAGH/GLB1L3/XDH/NAGK/ECI1/ACOX3/SCARF1/TKFC/PEX5/HSD17B10/BCKDK/ALDH3B2/SULT1A3/CBR3/ENO3/ADTRP/CYP27A1/AKT2/CYP27B1/LRP5/IVD/CYP26A1/ACOXL/FUT2/SESN2/SNX17/DLST/PCK2/MCAT/BCKDHA/AKR1A1/FOXK1/MAT1A/TAT/ENO1/FUT1/ACAD11/ECHS1/GPT2/AKT1/ABCD1/SDS/ACSF3/DECR2/GSTZ1/ACAA1/AMT/FAAH/CPT1A/NUDT1/TST/CYP24A1/ECHDC2/NUDT8/RENBP/LDHD/SLC27A4/GCAT/CYP1A1/MIOX/MGAT1/PLA2G15/UPP1/OXCT2/TYSND1/PFKL/APOE/MPST/ACSS1/PRODH/BAD/GCDH/GLYCTK/HPD/GATD1/GALK1/CYP26C1/DHDH/CBS/GALE/HDC/TWIST1/IL4I1/ILVBL/ALDH4A1/PDXP/SULT1A2/UPP2/SLC16A3/AMDHD2/PON1/ACADS/ACOT4/MTLN
MF	GO:0140313	molecular sequestering activity	50	-0.576294083675546	-2.02182109089122	1.55190269808352e-05	0.0182940520091277	0.0175641436642416	5562	tags=44%, list=22%, signal=34%	DDX56/RBCK1/PMEPA1/SQSTM1/SMAD6/SESN2/CAV1/CDKN1A/SMO/HSPBP1/LCN2/NOSIP/SLC39A4/SPI1/ZAR1/EPN1/SFN/TARBP2/CASQ2/TSSC4/TRIM15/CASTOR1
BP	GO:0016054	organic acid catabolic process	213	-0.40134194351451	-1.76585827711183	9.31112354238328e-06	0.0182940520091277	0.0175641436642416	6615	tags=42%, list=26%, signal=31%	NOS2/ACAD8/ASRGL1/GOT1/CRYL1/SCP2/ACADVL/HAAO/GLS2/ACOX1/SDSL/GLUD2/GNPDA1/QDPR/CRAT/PPM1K/GAD1/ABCD4/OAT/PPARD/FAH/LPIN3/ALDH8A1/GLDC/DPEP1/PCCB/KYAT1/CRYM/UROC1/BCAT2/ACOT8/NAGK/ECI1/ACOX3/PEX5/HSD17B10/BCKDK/ADTRP/AKT2/IVD/CYP26A1/ACOXL/SESN2/DLST/PCK2/MCAT/BCKDHA/AKR1A1/MAT1A/TAT/ACAD11/ECHS1/GPT2/AKT1/ABCD1/SDS/ACSF3/DECR2/GSTZ1/ACAA1/AMT/FAAH/CPT1A/TST/ECHDC2/NUDT8/RENBP/LDHD/SLC27A4/GCAT/PLA2G15/TYSND1/MPST/PRODH/GCDH/HPD/CYP26C1/CBS/HDC/TWIST1/IL4I1/ILVBL/ALDH4A1/SLC16A3/AMDHD2/PON1/ACADS/ACOT4/MTLN
BP	GO:0046395	carboxylic acid catabolic process	213	-0.40134194351451	-1.76585827711183	9.31112354238328e-06	0.0182940520091277	0.0175641436642416	6615	tags=42%, list=26%, signal=31%	NOS2/ACAD8/ASRGL1/GOT1/CRYL1/SCP2/ACADVL/HAAO/GLS2/ACOX1/SDSL/GLUD2/GNPDA1/QDPR/CRAT/PPM1K/GAD1/ABCD4/OAT/PPARD/FAH/LPIN3/ALDH8A1/GLDC/DPEP1/PCCB/KYAT1/CRYM/UROC1/BCAT2/ACOT8/NAGK/ECI1/ACOX3/PEX5/HSD17B10/BCKDK/ADTRP/AKT2/IVD/CYP26A1/ACOXL/SESN2/DLST/PCK2/MCAT/BCKDHA/AKR1A1/MAT1A/TAT/ACAD11/ECHS1/GPT2/AKT1/ABCD1/SDS/ACSF3/DECR2/GSTZ1/ACAA1/AMT/FAAH/CPT1A/TST/ECHDC2/NUDT8/RENBP/LDHD/SLC27A4/GCAT/PLA2G15/TYSND1/MPST/PRODH/GCDH/HPD/CYP26C1/CBS/HDC/TWIST1/IL4I1/ILVBL/ALDH4A1/SLC16A3/AMDHD2/PON1/ACADS/ACOT4/MTLN
BP	GO:0045862	positive regulation of proteolysis	199	-0.39769406845729	-1.73259981990054	1.52571338988224e-05	0.0182940520091277	0.0175641436642416	4877	tags=28%, list=20%, signal=23%	PSMC3/PLK3/ZER1/CLN6/USP5/CHFR/ASTL/DAB2IP/CDC20/VSIR/FZR1/CAV1/TMEM259/SNX33/HSPA1B/SMAD7/ENO1/HSPBP1/APH1A/AKT1/NKD2/VCP/GRN/BAG6/TRIB3/BCAP31/DNAJB2/KEAP1/STUB1/MMP14/MELTF/TRAF7/CCDC22/PACSIN3/CSNK1E/NUPR1/FURIN/AXIN1/PSENEN/APOE/ADAM8/MAPK12/BAD/RGN/HPN/TBC1D10A/F12/SIRT6/BAK1/AURKAIP1/FGFR4/DVL1/IKBKG/CEBPA/PRSS22/CLDN4
BP	GO:0044248	cellular catabolic process	282	-0.37413873969389	-1.70326129005904	8.94623897213281e-06	0.0182940520091277	0.0175641436642416	6615	tags=35%, list=26%, signal=26%	ACOX1/SDSL/GLUD2/ZNRF3/GNPDA1/QDPR/CRAT/PPM1K/GAD1/ABCD4/OAT/PPARD/FAH/LPIN3/ALDH8A1/GLDC/DPEP1/PCCB/KYAT1/CRYM/UROC1/BCAT2/ACOT8/NAGK/ECI1/ACOX3/PEX5/HSD17B10/BCKDK/ADTRP/AKT2/IVD/CYP26A1/CDK5/ACOXL/SESN2/RNF43/CAPN1/DLST/PCK2/MCAT/TGFB1/BCKDHA/AKR1A1/GGT7/MAT1A/TAT/ACAD11/ECHS1/GPT2/AKT1/SGSH/ABCD1/SDS/ACSF3/MVB12A/IDUA/DECR2/GSTZ1/ACAA1/AMT/FAAH/CPT1A/GGT5/ADAMTS13/TST/ECHDC2/NUDT8/RENBP/LDHD/SLC27A4/GCAT/FURIN/PLA2G15/TYSND1/APOE/CHAC1/MPST/PRODH/NAGLU/GCDH/HPD/CYP26C1/GPC1/PCSK9/CBS/HDC/ACE/GGT1/TWIST1/IL4I1/ILVBL/ALDH4A1/SLC16A3/AMDHD2/PON1/ACADS/ACOT4/MTLN
CC	GO:0005765	lysosomal membrane	423	-0.333249505842823	-1.57154446952138	1.85373547907563e-05	0.0182940520091277	0.0175641436642416	5948	tags=31%, list=24%, signal=24%	CHMP1B/RRAGA/TFE3/RNF183/MEAK7/MFSD1/LRRC8E/LAMP3/KLC2/ATP6AP1/SLC35F6/TMBIM1/SLC7A5/TMEM175/SURF4/SLC39A14/SEC13/PLAAT3/BORCS8/PLEKHF1/GPR143/VPS16/RAB3D/LRP1/ATP6V1H/KCNK6/HLA-DRB1/AHNAK/MCOLN3/AP2M1/VPS18/GFAP/ATP6V0E2/CDIP1/NPRL3/LAMTOR1/PRMT1/BST2/VOPP1/RILP/PLEKHM2/TMEM9/SPNS1/MLST8/TMEM63A/SESN2/MARCHF2/TOM1/SLC26A11/PLD3/LAMTOR4/VASN/MARCHF1/RNF167/TM9SF1/AP2A1/VAMP8/SLC17A9/TLR7/TMEM203/TMEM79/PSAP/KPTN/SLC12A4/AP1B1/RPTOR/ARRB1/GNA11/AP5B1/AP1M1/AP2S1/DEPTOR/SLC3A2/ABCD1/COL6A1/GRN/MCOLN1/CHMP6/SLC66A1/CYB561/DDOST/UBXN6/FLCN/ABCC10/PLEKHM1/CYB561A3/SLC30A3/PIP4P1/GNB2/SLC2A8/NFAM1/STARD3/PGAP6/ATP13A2/TECPR1/AP5S1/HLA-H/FPR1/SYNGR1/TFEB/WDR24/STK11IP/IFITM1/CHMP4C/DNAJC5/GAA/GPR137/TCIRG1/AZU1/CHMP1A/PLA2G4E/ABCB9/SPPL2B/SPHK2/WDR81/PCSK9/MYL11/MINAR2/HPS6/MFSD12/TRPM2/BORCS6/SLC12A9/CLCN7/SLC2A6/SLC30A2/ATP6V0B/ATP6V0C/AP1M2/CTSD
CC	GO:0098852	lytic vacuole membrane	423	-0.333249505842823	-1.57154446952138	1.85373547907563e-05	0.0182940520091277	0.0175641436642416	5948	tags=31%, list=24%, signal=24%	CHMP1B/RRAGA/TFE3/RNF183/MEAK7/MFSD1/LRRC8E/LAMP3/KLC2/ATP6AP1/SLC35F6/TMBIM1/SLC7A5/TMEM175/SURF4/SLC39A14/SEC13/PLAAT3/BORCS8/PLEKHF1/GPR143/VPS16/RAB3D/LRP1/ATP6V1H/KCNK6/HLA-DRB1/AHNAK/MCOLN3/AP2M1/VPS18/GFAP/ATP6V0E2/CDIP1/NPRL3/LAMTOR1/PRMT1/BST2/VOPP1/RILP/PLEKHM2/TMEM9/SPNS1/MLST8/TMEM63A/SESN2/MARCHF2/TOM1/SLC26A11/PLD3/LAMTOR4/VASN/MARCHF1/RNF167/TM9SF1/AP2A1/VAMP8/SLC17A9/TLR7/TMEM203/TMEM79/PSAP/KPTN/SLC12A4/AP1B1/RPTOR/ARRB1/GNA11/AP5B1/AP1M1/AP2S1/DEPTOR/SLC3A2/ABCD1/COL6A1/GRN/MCOLN1/CHMP6/SLC66A1/CYB561/DDOST/UBXN6/FLCN/ABCC10/PLEKHM1/CYB561A3/SLC30A3/PIP4P1/GNB2/SLC2A8/NFAM1/STARD3/PGAP6/ATP13A2/TECPR1/AP5S1/HLA-H/FPR1/SYNGR1/TFEB/WDR24/STK11IP/IFITM1/CHMP4C/DNAJC5/GAA/GPR137/TCIRG1/AZU1/CHMP1A/PLA2G4E/ABCB9/SPPL2B/SPHK2/WDR81/PCSK9/MYL11/MINAR2/HPS6/MFSD12/TRPM2/BORCS6/SLC12A9/CLCN7/SLC2A6/SLC30A2/ATP6V0B/ATP6V0C/AP1M2/CTSD
MF	GO:0008514	organic anion transmembrane transporter activity	225	-0.377342213244083	-1.67522989731415	3.26118907811711e-05	0.0257470877717346	0.0247198132121277	6602	tags=37%, list=26%, signal=28%	SLC7A2/SLCO5A1/RTBDN/GRIN3A/SLC6A6/SLC35B2/ABCD4/SLC4A10/SLC25A38/SLC6A9/SLC38A5/SFXN3/SLC37A1/SLC37A4/SLC26A1/GRIK3/SLC25A26/SLC7A5/SLC39A14/SLC6A8/SLC6A20/SLC16A10/SERINC5/SLC25A19/SLC5A6/SLC4A11/SLC17A6/SLC46A1/SLC26A11/SLC22A3/SLC17A9/SLC51A/FABP5/BEST2/SLC3A2/ABCD1/ABCC11/ABCG2/SLC66A1/SLC25A25/BEST4/SLC25A1/SLC16A5/SLC25A29/SLC39A4/SLC25A42/SLC27A5/SLC1A5/SLC2A8/GRIN3B/SFXN5/SLCO4A1/SLC4A1/SLC25A32/SLC6A5/SLC10A3/SLC26A9/SLC25A39/SLC16A13/SLC4A2/SLC4A3/SLC27A4/SLC16A12/SLC25A11/SLC43A2/SLC39A5/SLC19A1/SLC4A9/MFSD10/SLC38A10/SLCO1B1/MFSD12/SLC25A22/SLC32A1/SLC5A8/SLC2A6/SLC52A2/SLC52A3/SLC16A3/SLC52A1/SLC25A10/SLC6A13/SLC16A11/GRIN1
CC	GO:0005759	mitochondrial matrix	496	-0.316656787361222	-1.51046982418163	2.96128892505561e-05	0.0257470877717346	0.0247198132121277	7505	tags=33%, list=30%, signal=24%	HMGCL/MTHFD2/FASTKD5/PARK7/NUBPL/NARS2/ACSF2/ACAD8/MRPS7/TOP3A/TP53/NIPSNAP1/MRPL30/ALDH18A1/MRPL4/NDUFA9/BLOC1S1/ATP5F1A/SDHAF2/ACADVL/MAIP1/GLS2/MRPS18B/MRPS18A/MRPS2/GLUD2/MPV17L2/RPUSD4/SDHAF1/NUDT2/SIRT4/TWNK/PPM1K/TK2/PPIF/QARS1/GRPEL1/CYP11A1/CDK5RAP1/DNAJA3/NME6/OAT/DTYMK/MRPL15/ETHE1/TRAP1/POLDIP2/MRPL49/NFS1/TRUB2/HARS2/GLDC/ERAL1/PCCB/NAXD/MRPL36/BCAT2/ACO2/NT5M/MTG2/HAGH/MRPL41/MRPS28/ELAC2/ECI1/ARL2/MRPS16/NGRN/MRPL11/TIMM44/BCL2L1/MRPL27/HSD17B10/BCKDK/MRPL14/PMPCA/CYP27A1/ATP5F1B/LARS2/IVD/DDX28/HSD17B8/PRDX5/CSKMT/DHX30/NAGS/BDH1/TUFM/MRPL10/CCAR2/MECR/DLST/MRPS34/PCK2/MTG1/SHMT2/ACOT11/FLAD1/MCAT/BCKDHA/DMGDH/ECHS1/MRM3/GPT2/TBRG4/IBA57/FPGS/MRPL55/MARS2/TERT/PC/MRPL46/POLG/NDUFS3/ACSF3/OGDHL/COASY/GSTZ1/AMT/PIF1/RCC1L/NUDT1/ADPRS/MRPL54/TST/LONP1/FASTK/SARS2/D2HGDH/POLRMT/ATP5F1D/HINT2/NDUFS7/OXCT2/MRPS24/HPDL/PUS1/MRPS26/MPG/MPST/ACSS1/PRODH/NGB/PYCR1/MRPL28/GCDH/MRPL38/MRPS12/CHPF/MRPL23/AURKAIP1/ATG4D/ALDH4A1/MRM1/FDXR/ATAD3A/NAT8L/ALKBH7/MRPL12/GPX1/ACADS/TMLHE/MRM2/MYG1/ACOT2
