""	WT_1	WT_2	Y2_1	Y2_2	YT_1	YT_2
DDX11L16	0	0	2	3	2	0
DDX11L1	0	0	0	0	0	0
WASH7P	139	141	200	89	201	142
MIR6859-1	0	0	0	0	0	0
MIR1302-2HG	2	1	0	0	0	2
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
ENSG00000308361	1	0	1	0	1	0
ENSG00000290826	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
ENSG00000241860	2	1	9	6	2	1
ENSG00000239945	0	0	0	0	0	0
ENSG00000308314	0	0	0	0	0	0
CICP27	0	0	0	0	0	0
ENSG00000308579	39	25	58	101	53	33
ENSG00000268903	3	0	1	0	0	4
ENSG00000269981	130	71	214	63	142	128
ENSG00000239906	14	8	9	21	7	12
ENSG00000310528	0	0	2	0	0	0
RNU6-1100P	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
DDX11L2	6	4	0	0	2	2
WASH9P	71	68	77	66	113	75
DDX11L17	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0
ENSG00000308625	0	0	0	0	0	0
ENSG00000308544	0	0	0	0	0	0
ENSG00000292994	6	4	7	9	15	1
ENSG00000228463	0	0	0	0	0	0
ENSG00000306775	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	3	0
RPL23AP24	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000290385	57	32	95	130	197	58
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
ENSG00000250575	1	1	1	0	1	2
U6	0	0	0	0	0	0
ENSG00000293331	1	0	14	12	19	0
LINC00115	111	68	150	186	282	83
ENSG00000235146	0	0	0	0	0	0
MTND1P23	1	2	285	669	363	6
MTND2P28	24	44	788	1537	794	31
MTCO1P12	86	143	3196	3650	2140	159
ENSG00000278791	0	1	13	1	6	1
MTCO2P12	7	28	1586	2517	1687	29
MTATP8P1	0	0	2	0	1	0
