ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0022626	cytosolic ribosome	111	-0.7836809247979	-3.27578207547919	1e-10	9.09688581314879e-10	2.93085655314758e-10	2354	tags=77%, list=9%, signal=70%	RPL18A/FAU/HBS1L/RNF10/METAP1/GCN1/ASCC3/EIF2A/RPS7/RPS27/RPL7/RPS15/RPL26/RPL22/RPL23A/RPL36AL/ABCE1/RPS3A/ETF1/USP10/RPS15A/RPSA2/RPS21/RPL13/RPL29/GSPT1/RPS12/RPL6/RPL36/RPL41/RPS9/RPLP1/RPL34/RPLP0P6/RPS27A/RPL18/RPL31/RPL12/RPL13A/RPL27A/RPL24/RPL7A/RPS13/RPS19/RPS14/RPL10A/RPS5/RPL35A/RPLP2/RPL10/RPS18/UBA52/RPL35/DDX3X/RPL14/RPL32/RPS16/RPSA/RPL8/RPL38/RPS8/RPL5/RPS25/RPL23/RPL11/RPL27/RPLP0/RPS29/RPL19/RPL28/RPS3/RPL3/RPL37A/RPL37/RPS20/RACK1/RPL15/RPL30/RPL4/RPS6/RPS2/RPS11/RPS24/RPS23/RPS4X/EEF1A1
CC	GO:0022625	cytosolic large ribosomal subunit	54	-0.834456564315811	-3.16656444919851	1e-10	9.09688581314879e-10	2.93085655314758e-10	1468	tags=80%, list=6%, signal=75%	RPL7/RPL26/RPL22/RPL23A/RPL36AL/RPL13/RPL29/RPL6/RPL36/RPL41/RPLP1/RPL34/RPLP0P6/RPL18/RPL31/RPL12/RPL13A/RPL27A/RPL24/RPL7A/RPL10A/RPL35A/RPLP2/RPL10/UBA52/RPL35/RPL14/RPL32/RPL8/RPL38/RPL5/RPL23/RPL11/RPL27/RPLP0/RPL19/RPL28/RPL3/RPL37A/RPL37/RPL15/RPL30/RPL4
BP	GO:0002181	cytoplasmic translation	168	-0.720210642722207	-3.10878362450146	1e-10	9.09688581314879e-10	2.93085655314758e-10	2515	tags=70%, list=10%, signal=63%	SYNCRIP/MTOR/GTPBP1/RPL18A/FAU/MCTS1/EEF1D/ZC3H15/DHX36/EIF3G/NCBP2/EIF3J/RPS7/RPS27/YTHDF2/DENR/RPL7/RPS15/RPL26/EIF5/EIF4H/EIF3F/YBX3/SH3BGRL/RPL22/RPL23A/EIF2S2/RPS3A/EIF3I/ETF1/EIF3D/RPS15A/EIF4A2/EIF3M/EIF3K/EIF3B/EIF3L/EIF4G1/RPSA2/RPS21/RPL13/RPL29/AARS1/RPS12/RPL6/RPL36/IGF2BP1/RPL41/RPS9/SARS1/RPLP1/CNBP/RPL34/RPLP0P6/RPS27A/RPL18/EIF3A/RPL31/RPL12/EIF3H/EIF3E/RPL13A/RPL27A/RPL24/RPL7A/RPS13/RPS19/DHX9/RPS14/RPL10A/RPS5/RPL35A/EIF2S3/RPLP2/EIF4B/RPL10/RPS18/UBA52/RPL35/LIN28A/RPL14/HNRNPD/RPL32/RPS16/CSDE1/RPSA/RPL8/RPL38/PKM/RPS8/RPL5/RPS25/RPL23/RPL11/RPL27/RPLP0/RPS29/RPL19/HNRNPU/RPL28/RPS3/RPL3/RPL37A/RPL37/YBX1/RPS20/RACK1/RPL15/RPL30/RPL4/RPS6/RPS2/RPS11/RPS24/RPS23/PABPC1/RPS4X
CC	GO:0022627	cytosolic small ribosomal subunit	39	-0.830667888326234	-2.96823180033856	1e-10	9.09688581314879e-10	2.93085655314758e-10	1691	tags=79%, list=7%, signal=74%	EIF2A/RPS7/RPS27/RPS15/RPS3A/RPS15A/RPSA2/RPS21/RPS12/RPS9/RPS27A/RPS13/RPS19/RPS14/RPS5/RPS18/DDX3X/RPS16/RPSA/RPS8/RPS25/RPS29/RPS3/RPS20/RACK1/RPS6/RPS2/RPS11/RPS24/RPS23/RPS4X
MF	GO:0003735	structural constituent of ribosome	157	-0.687403823426881	-2.95656333850762	1e-10	9.09688581314879e-10	2.93085655314758e-10	4590	tags=75%, list=18%, signal=61%	MRPS18C/MRPL13/MRPS18B/MRPS22/RPL9/MRPL24/MRPL10/MRPL30/MRPL17/MRPS11/MRPS18A/MRPS23/MRPL35/MRPL4/MRPL20/MRPS33/MRPS34/MRPL11/MRPL15/RPL7L1/MRPL34/MRPL45/MRPS15/MRPS7/MRPL19/MRPL32/MRPS9/MRPS2/MRPL49/RPS27L/MRPS16/MRPL47/MRPL57/RPL18A/MRPS30/FAU/MRPL18/MRPS35/MRPL3/MRPL9/MRPL42/RPS7/RPS27/MRPL51/RPL7/RPS15/RPL26/RSL24D1/DAP3/MRPS21/MRPL37/RPL22/RPL23A/RPL36AL/RPS3A/RPS15A/RPSA2/RPS21/RPL13/RPL29/RPS12/RPL6/RPL36/RPL41/RPS9/RPLP1/RPL34/RPLP0P6/RPS27A/RPL18/RPL31/RPL12/RPL13A/RPL27A/RPL24/RPL7A/RPS13/RPS19/RPS14/RPL10A/RPS5/RPL35A/RPLP2/RPL10/RPS18/UBA52/RPL35/RPL14/RPL32/RPS16/RPSA/RPL8/RPL38/RPS8/RPL5/RPS25/RPL23/RPL11/RPL27/RPLP0/RPS29/RPL19/RPL28/RPS3/RPL3/RPL37A/RPL37/RPS20/RPL15/RPL30/RPL4/RPS6/RPS2/RPS11/RPS24/RPS23/RPS4X
BP	GO:0006403	RNA localization	192	-0.663422102723889	-2.88746163767026	1e-10	9.09688581314879e-10	2.93085655314758e-10	6430	tags=83%, list=26%, signal=62%	ARC/ATR/NUP42/THOC6/NAF1/PCID2/FXR2/BICD1/BICD2/CETN3/HSF1/MAGOHB/ZNHIT6/MCM3AP/NUP35/MEX3D/NXT2/ATM/THOC1/NUP37/PHAX/DDX39B/UPF1/UPF2/GLE1/RAE1/SMG6/DDX39A/THOC3/FYTTD1/FMR1/SEH1L/MAGOH/AKAP8L/ZNHIT3/NUP85/SENP2/THOC5/NXF1/NHP2/RBM33/UPF3A/SLBP/PNPT1/ALYREF/POM121/NCBP3/DCP2/THOC7/POM121C/PIH1D1/RUVBL2/SEC13/PRPF6/NUP214/PARN/AAAS/SRSF1/NSUN2/SMG1/IWS1/SMG5/NCBP1/FUBP3/EIF4A3/NUP62/NUP93/NUP155/RUVBL1/THOC2/NUP188/DKC1/ATXN2/SETD2/NUP43/NUP160/AGFG1/MRPL18/AHCTF1/NUP88/CETN2/EIF4E/TNKS/EXOSC10/DHX36/ALKBH5/STAU2/NUP58/CHTOP/NCBP2/SUPT6H/RBM15B/YY1/NUP210/NUP107/KIF5C/NUP133/PUM2/NOP10/NOP58/YTHDC1/CPSF6/NUP50/NUP98/STAU1/CASC3/RANBP2/XPO5/SMG7/NUP205/FXR1/FBL/NDC1/FLOT1/RTRAF/NUP153/SRSF7/CKAP5/ENY2/IGF2BP2/RBM8A/SEM1/UPF3B/CCT7/KHDRBS1/NUP54/CCT2/SSB/ZFP36L1/TCP1/TPR/G3BP2/WNK1/QKI/CCT4/NUTF2/XPOT/CCT6A/IGF2BP1/IGF2BP3/LRPPRC/XPO1/KHSRP/CCT3/SRSF3/CCT8/DHX9/CCT5/TERF1/KPNB1/HNRNPAB/TOMM20/CAPRIN1/RAN/HNRNPA1/HNRNPU/PEG10/YBX1/HNRNPA2B1
CC	GO:0098803	respiratory chain complex	102	-0.697772419474281	-2.88724427241083	1e-10	9.09688581314879e-10	2.93085655314758e-10	5231	tags=81%, list=21%, signal=65%	NDUFB7/NDUFB8/COX6A1/NDUFB3/NDUFA8/SDHB/NDUFB5/ATP5PO/ATP5F1E/NDUFC1/UQCRQ/NNT/NDUFV1/UQCRHL/NDUFS3/NDUFB2/NDUFA2/SDHD/ATP5MK/NDUFS4/NDUFA10/NDUFS8/NDUFC2/ATP5MG/NDUFB9/NDUFV3/COX7A2L/NDUFAB1/NDUFB11/ATP5MC1/NDUFS1/NDUFA12/ATP5MJ/NDUFA5/SDHC/ATP5PF/UQCRC1/NDUFB10/NDUFS6/NDUFA6/UQCRFS1/COX7B/COX8A/NDUFS2/UQCRC2/NDUFA3/CYC1/STMP1/UQCR10/NDUFA1/ATP5MF/COX5B/COX6B1/ATP5PB/NDUFA4/COX7A2/NDUFB1/ATP5PD/ATP5F1C/COX6C/UQCRH/NDUFS5/COX4I1/COX5A/NDUFB4/UQCRB/ATP5ME/COX7C/MT-ATP8/MTCO2P12/ATP5F1A/ATP5F1B/MT-ND4L/MT-ND1/MT-ND5/MT-CYB/MT-ND3/MT-ND2/MT-ATP6/MT-ND4/MT-CO2/MT-CO3/MT-CO1
CC	GO:0044391	ribosomal subunit	179	-0.660321042354915	-2.86438717167191	1e-10	9.09688581314879e-10	2.93085655314758e-10	4590	tags=72%, list=18%, signal=59%	MRPS18C/MRPL13/MRPS18B/GADD45GIP1/MRPS22/RPL9/MRPL24/MRPL44/MRPL10/MRPL30/MRPL17/ZCCHC17/MRPS11/MRPL50/MRPS18A/MRPS23/MRPL35/MRPL4/MRPL20/MRPS33/MRPS34/MRPL11/MRPL15/MRPS10/LARP4/RPL7L1/MRPL34/MRPL45/MRPS15/MRPS7/MRPL19/MRPL32/MRPS9/MRPS2/MRPL49/RPS27L/MRPS16/MRPL47/MRPL57/PTCD3/RPL18A/MRPS30/FAU/MRPL18/MRPS27/MRPS35/MRPL3/MRPL9/MRPL42/EIF2A/RPS7/RPS27/MRPL51/RPL7/RPS15/RPL26/DAP3/MRPS21/MRPL37/RPL22/RPL23A/RPL36AL/RPS3A/RBM3/RPS15A/RPSA2/RPS21/RPL13/RPL29/RPS12/RPL6/RPL36/RPL41/RPS9/RPLP1/RPL34/RPLP0P6/RPS27A/RPL18/RPL31/RPL12/RPL13A/RPL27A/RPL24/RPL7A/RPS13/RPS19/RPS14/RPL10A/RPS5/RPL35A/RPLP2/RPL10/RPS18/UBA52/RPL35/DDX3X/RPL14/RPL32/RPS16/RPSA/RPL8/RPL38/RPS8/RPL5/RPS25/RPL23/RPL11/RPL27/RPLP0/RPS29/RPL19/RPL28/RPS3/RPL3/RPL37A/RPL37/RPS20/RACK1/RPL15/RPL30/RPL4/RPS6/RPS2/RPS11/RPS24/RPS23/RPS4X
BP	GO:0051028	mRNA transport	126	-0.678421593875571	-2.86231580158509	1e-10	9.09688581314879e-10	2.93085655314758e-10	6430	tags=84%, list=26%, signal=63%	ARC/NUP42/THOC6/PCID2/FXR2/BICD2/CETN3/HSF1/MAGOHB/MCM3AP/NUP35/NXT2/THOC1/NUP37/DDX39B/UPF1/UPF2/GLE1/RAE1/SMG6/DDX39A/THOC3/FYTTD1/FMR1/SEH1L/MAGOH/AKAP8L/NUP85/SENP2/THOC5/NXF1/RBM33/UPF3A/SLBP/ALYREF/POM121/NCBP3/THOC7/POM121C/SEC13/NUP214/AAAS/SRSF1/NSUN2/SMG1/IWS1/SMG5/NCBP1/EIF4A3/NUP62/NUP93/NUP155/THOC2/NUP188/SETD2/NUP43/NUP160/AGFG1/AHCTF1/NUP88/CETN2/EIF4E/TNKS/ALKBH5/NUP58/CHTOP/NCBP2/SUPT6H/RBM15B/NUP210/NUP107/KIF5C/NUP133/YTHDC1/NUP50/NUP98/CASC3/RANBP2/SMG7/NUP205/FXR1/NDC1/NUP153/SRSF7/ENY2/IGF2BP2/RBM8A/SEM1/UPF3B/NUP54/ZFP36L1/TPR/G3BP2/WNK1/QKI/NUTF2/IGF2BP1/IGF2BP3/LRPPRC/XPO1/KHSRP/SRSF3/DHX9/HNRNPA1/PEG10/HNRNPA2B1
CC	GO:0071013	catalytic step 2 spliceosome	89	-0.700284596067136	-2.8561580170052	1e-10	9.09688581314879e-10	2.93085655314758e-10	5702	tags=85%, list=23%, signal=66%	DHX38/SNRPA1/CRNKL1/MAGOHB/SNRPD3/PPIL2/PPWD1/SART1/LSM7/SLU7/MAGOH/SNRPN/FRG1/SF3A2/CWC22/CWC15/ALYREF/ZCCHC8/DHX8/PPIL3/SYF2/CDC5L/PRPF6/SNRNP40/SRSF1/BCAS2/DDX23/LSM2/RBM22/CWC27/SNRPE/PRP4K/BUD31/EIF4A3/SYNCRIP/PRPF19/SNRPB/DDX41/PLRG1/PPIL1/MTREX/RALY/SNW1/SNRPG/AQR/EFTUD2/SNRPB2/SNRPF/SNRPD2/SNRPD1/SF3A1/SRRM1/PNN/HNRNPF/LSM3/RBM8A/SF3A3/SF3B2/SF3B3/HNRNPR/DDX5/SNRNP200/HNRNPM/HNRNPA3/SF3B1/PRPF8/SRRM2/RBMX/HNRNPH1/HNRNPA1/HNRNPA1L3/HNRNPK/HNRNPU/HNRNPA2B1/HNRNPC/PABPC1
