"","logFC","gene_id","direction"
"ZNF542P",-9.62061347886785,"ZNF542P","down"
"SIX3",-9.28948835420581,"SIX3","down"
"EDNRB",-9.23771254068858,"EDNRB","down"
"ZFP42",-8.41265443883097,"ZFP42","down"
"ENSG00000289458",8.22671674535287,"ENSG00000289458","up"
"DAZL",-8.21853633078839,"DAZL","down"
"TEK",-8.05423225524004,"TEK","down"
"ENSG00000286339",8.03366436097771,"ENSG00000286339","up"
"PAPPA",-7.91520118521478,"PAPPA","down"
"PEG3",-7.63396773997845,"PEG3","down"
"ZNF736",-7.41688260252144,"ZNF736","down"
"LHX5",-7.29608416756493,"LHX5","down"
"PSMD5",-7.28735761061587,"PSMD5","down"
"ENSG00000229271",-7.28527579922882,"ENSG00000229271","down"
"LINC02751",-7.26977631318322,"LINC02751","down"
"CUTALP",-7.11990086476431,"CUTALP","down"
"LHX5-AS1",-6.37568553151872,"LHX5-AS1","down"
"MYL9",-6.37512634738734,"MYL9","down"
"ALPK3",-6.31969946930574,"ALPK3","down"
"TBX1",6.29041797743618,"TBX1","up"
"TSPYL5",-6.23498863825129,"TSPYL5","down"
"CGAS",-6.13070761972089,"CGAS","down"
"PAX8",6.02846222215049,"PAX8","up"
"SEZ6",-5.88143368056979,"SEZ6","down"
"KRT1",-5.82057419881408,"KRT1","down"
"ONECUT1",5.73085088367697,"ONECUT1","up"
"ENSG00000289161",-5.71551060968498,"ENSG00000289161","down"
"NPTX1",-5.66655733154123,"NPTX1","down"
"PKLR",-5.66089102512165,"PKLR","down"
"GDF7",5.59970186307132,"GDF7","up"
"SBSN",-5.57093262290719,"SBSN","down"
"RFX4",5.52829619484843,"RFX4","up"
"FEZF1-AS1",-5.50043749067847,"FEZF1-AS1","down"
"ETV3L",-5.34546056517944,"ETV3L","down"
"CTSF",-5.30493275859683,"CTSF","down"
"TSHZ1",5.29962047048221,"TSHZ1","up"
"STK31",5.28284475773138,"STK31","up"
"HMX3",-5.26886350388931,"HMX3","down"
"TXNRD2",-5.26072415907929,"TXNRD2","down"
"LINC00824",5.24869653531953,"LINC00824","up"
"CDSN",-5.21680184831817,"CDSN","down"
"MAP3K13",-5.20666874228197,"MAP3K13","down"
"CCDC125",-5.18618648108008,"CCDC125","down"
"LGI1",-5.17876814268293,"LGI1","down"
"BCYRN1",-5.16279091366806,"BCYRN1","down"
"IRAK4",5.12865268255366,"IRAK4","up"
"HMX1",5.12238008553813,"HMX1","up"
"HOPX",-5.11482987521689,"HOPX","down"
"LINC02335",-5.03117194616998,"LINC02335","down"
"ENSG00000306832",5.00866484794048,"ENSG00000306832","up"
"PTPRB",4.99668504631228,"PTPRB","up"
"CNTN2",-4.97515261432979,"CNTN2","down"
"NRN1",4.89526525395928,"NRN1","up"
"LINC02898",-4.8863286442978,"LINC02898","down"
"ENSG00000298074",-4.8863286442978,"ENSG00000298074","down"
"PCDHA6",-4.8690850719959,"PCDHA6","down"
"GNLY",4.85367692961765,"GNLY","up"
"LINC02772",-4.79797276987695,"LINC02772","down"
"GARIN1B",-4.79263439175664,"GARIN1B","down"
"NKX3-2",4.78385548012008,"NKX3-2","up"
"TBX5",4.75634198755822,"TBX5","up"
"ENSG00000231827",-4.75391758979901,"ENSG00000231827","down"
"VWF",-4.75260126211564,"VWF","down"
"LGALS7B",-4.74644246923687,"LGALS7B","down"
"POU3F4",4.73535696242889,"POU3F4","up"
"OTX2",-4.72413164843548,"OTX2","down"
"MAS1",4.72048368594736,"MAS1","up"
"TAL1",4.71456099815685,"TAL1","up"
"ENSG00000224789",-4.7038505925124,"ENSG00000224789","down"
"ENSG00000248540",4.70329575319659,"ENSG00000248540","up"
"LINC00882",-4.69013502833491,"LINC00882","down"
"HOXB1",4.68517120526067,"HOXB1","up"
"LMO3",4.67838081056278,"LMO3","up"
"ALDH1A2",-4.67474100388268,"ALDH1A2","down"
"CCDC152",-4.66155357165035,"CCDC152","down"
"TMEM176A",-4.66155357165035,"TMEM176A","down"
