"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006617","GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","1/2","14/18986",0.0714285714285714,678.071428571429,26.0116788498941,0.00147426595830247,0.0105204835932364,NA,"LOC101929130",1
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","1/2","27/18986",0.037037037037037,351.592592592593,18.7112732369699,0.00284225342039179,0.0105204835932364,NA,"LOC101929130",1
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","1/2","32/18986",0.03125,296.65625,17.1805891000767,0.00336815275583502,0.0105204835932364,NA,"LOC101929130",1
"GO:0045047","GO:0045047","protein targeting to ER","1/2","46/18986",0.0217391304347826,206.369565217391,14.3136847575647,0.00483993292702745,0.0105204835932364,NA,"LOC101929130",1
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","1/2","50/18986",0.02,189.86,13.7248403395356,0.00526024179661821,0.0105204835932364,NA,"LOC101929130",1
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","1/2","83/18986",0.0120481927710843,114.373493975904,10.624576943455,0.00872440253094198,0.0145406708849033,NA,"LOC101929130",1
"GO:0006612","GO:0006612","protein targeting to membrane","1/2","129/18986",0.00775193798449612,73.5891472868217,8.49095785591257,0.0135431507812158,0.0193473582588797,NA,"LOC101929130",1
"GO:0090150","GO:0090150","establishment of protein localization to membrane","1/2","280/18986",0.00357142857142857,33.9035714285714,5.6932207880054,0.029278688112536,0.03659836014067,NA,"LOC101929130",1
"GO:0006605","GO:0006605","protein targeting","1/2","335/18986",0.00298507462686567,28.3373134328358,5.18147742813343,0.0349787422200205,0.0388652691333561,NA,"LOC101929130",1
"GO:0072594","GO:0072594","establishment of protein localization to organelle","1/2","462/18986",0.00216450216450216,20.547619047619,4.36590120874097,0.0480765598015876,0.0480765598015876,NA,"LOC101929130",1
