WT_P62	Y2_P37_28	YT2_P37_7_17
0	4	2
0	0	3
312	418	369
0	0	0
2	0	0
0	0	0
0	0	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
3	5	5
0	0	0
0	0	0
0	0	0
26	54	45
3	4	5
89	148	122
4	19	12
0	0	0
1	2	0
0	0	0
3	11	4
162	281	240
0	0	0
0	0	0
0	0	0
0	0	0
8	4	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
82	150	158
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
2	0	0
0	4	1
143	182	214
0	1	0
0	5	2
28	36	26
117	191	136
0	0	0
0	1	1
0	0	0
2597	3258	4156
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
27	46	48
0	0	0
0	0	0
0	0	1
289	411	493
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
149	346	135
0	0	0
38	28	2
150	76	5
4852	9458	8230
590	1050	727
68	88	15
1	4	0
0	0	0
5	0	1
75	22	9
0	0	0
416	439	337
0	0	0
0	0	0
1	0	1
9397	8205	9203
0	0	0
80	106	11
4	4	0
5	9	0
17	37	18
1	0	0
3	1	1
367	637	608
0	0	0
0	0	0
3	0	0
1	0	0
0	0	0
0	0	0
0	0	0
11	3	0
0	1	5
20	10	29
23	4	3
6	7	5
2	0	1
2150	3759	4178
472	647	1333
53	14	8
1	6	4
1432	2223	2661
33	48	31
165	173	123
795	1209	1812
0	0	0
679	776	981
2905	5043	5033
0	0	0
17	70	53
350	530	688
2	3	7
2274	2392	2545
0	0	0
6	3	14
509	201	539
2336	3377	3219
0	3	0
3255	4106	5334
695	1227	1283
1525	2371	3206
0	0	0
40	31	68
120	124	132
42	17	21
3	1	4
202	109	207
144	137	247
785	920	1745
56	41	70
923	1542	1450
2	4	4
0	0	0
1058	1409	1493
106	95	98
0	0	0
4676	6369	7248
34	23	12
0	0	0
1033	1474	1312
30	60	43
132	248	167
645	935	1036
8	4	7
1533	2614	2674
5	5	15
2630	4754	5093
0	0	0
0	0	0
3	3	6
109	161	151
0	0	0
30	70	76
52	144	115
2	2	4
53	138	120
0	0	0
0	0	0
2505	4064	3546
9	10	31
15008	24938	25389
5	10	5
0	0	0
1	4	0
1	2	2
19	34	18
236	322	309
18	24	26
33	72	74
61	143	182
23	9	7
2	1	0
1835	2084	2029
0	0	0
0	0	0
89	74	155
1254	1544	1479
1	9	8
0	1	1
2	0	0
2506	4529	4732
1	0	0
163	55	64
210	307	260
2	2	1
48	67	82
0	0	0
2	4	7
0	0	0
2085	2872	3136
1300	1558	1927
36	49	58
0	1	3
1	2	1
645	1125	1244
0	12	3
24	37	28
2	5	0
2	1	6
17	8	56
0	0	0
0	1	2
0	0	0
0	0	0
1914	2460	3024
42	35	54
10	2	7
34	70	72
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	0
4	3	2
12	21	5
105	158	111
0	0	0
0	0	0
0	0	0
2	0	0
1	0	0
4	0	1
2	0	1
0	0	0
0	0	0
0	1	1
909	834	1007
0	0	0
1573	1615	1860
0	1	0
0	0	0
10	5	6
1022	1336	1482
601	982	892
242	134	67
0	0	0
0	0	0
1913	2545	2687
0	0	0
10	13	8
0	0	0
46	74	67
2600	5832	5023
1	0	0
2	9	5
869	1458	1297
209	375	318
496	991	1064
17	15	26
0	1	0
0	0	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	1
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	0
0	0	0
221	895	1467
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	6	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	1	2
0	0	0
0	0	0
0	0	0
0	1	0
0	1	0
753	1394	1927
0	0	1
518	547	584
340	137	73
0	0	0
5774	7917	6905
14	17	13
155	123	151
7101	12003	14242
286	221	140
847	632	523
1039	2025	2383
3212	5452	4634
4	3	5
32	64	8
554	654	216
0	0	0
1	0	0
288	344	339
1157	1457	1173
0	4	1
0	0	0
1	1	0
805	1334	1511
0	0	0
0	0	0
3	3	0
649	710	917
773	969	1381
0	0	0
0	0	0
2550	3014	3339
411	621	415
3204	5796	7474
0	0	0
0	0	0
19	16	17
1211	1781	1944
0	0	0
0	0	0
0	0	0
0	0	0
0	2	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
13	21	7
9	11	9
44	44	21
0	2	0
1486	2448	2830
3	10	8
487	456	770
0	0	0
0	1	0
1	0	0
0	5	2
0	0	0
5833	9991	9705
1	2	1
166	281	195
6	12	6
0	1	0
1857	5072	2285
1	6	2
0	0	0
0	0	0
0	5	1
0	0	0
0	0	0
0	0	0
0	0	0
1	1	2
0	0	1
1	3	0
0	0	0
96	179	147
3531	4928	5547
1	2	0
0	0	0
0	0	0
0	0	0
2	2	0
0	0	0
0	0	0
1	2	2
0	0	0
74196	135910	117518
0	0	1
6	18	10
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	3	0
0	0	0
0	0	0
4	4	1
8	17	10
0	0	0
267	401	269
132	397	337
0	0	0
3	2	0
0	0	0
79	220	145
1	3	2
0	4	2
1379	2446	1944
0	0	0
333	376	186
0	0	0
3	0	0
0	0	0
0	0	0
0	0	1
3	11	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
590	761	712
5	5	10
884	1507	1786
0	0	0
1925	1566	1316
0	0	0
0	0	0
1	0	0
239	195	179
7863	10802	10522
0	0	0
0	1	0
3076	3644	3472
0	0	1
0	0	0
6	4	6
995	1203	1141
172	337	198
0	8	8
0	0	0
0	0	0
0	0	0
96	74	31
4678	8259	11093
0	0	0
1	0	2
2	5	1
7050	10232	11357
0	0	2
1	1	1
0	0	0
0	0	1
6	18	13
13158	23972	27657
6	4	3
1	1	5
78	95	120
2	1	0
4878	5464	4070
0	0	1
827	1375	1321
0	0	0
0	0	0
0	0	0
525	530	203
6	0	3
1	0	2
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
57	6	9
1	0	0
7184	11489	15488
9	8	8
3094	4397	4883
24	26	27
3657	4429	6130
6342	8579	11885
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	0
1185	1578	2085
0	0	0
3	1	3
9	10	10
0	0	0
